# h/L  beta F_att^SC   beta F_att^MC   beta F^SC  beta F^MC
0.1	-0.01859	-0.01880	-0.00707	-0.00729
0.2	-0.01693	-0.01714	-0.00888	-0.00909
0.3	-0.01593	-0.01614	-0.00991	-0.01012
0.4	-0.01526	-0.01546	-0.01068	-0.01088
0.5	-0.01470	-0.01490	-0.01124	-0.01143
0.6	-0.01425	-0.01445	-0.01169	-0.01189
0.7	-0.01388	-0.01408	-0.01210	-0.01229
0.8	-0.01357	-0.01376	-0.01245	-0.01265
0.9	-0.01327	-0.01347	-0.01274	-0.01294
1.0	-0.01300	-0.01321	-0.01300	-0.01321
1.1	-0.01270	-0.01292	-0.01270	-0.01292
1.2	-0.01236	-0.01261	-0.01236	-0.01261
1.3	-0.01199	-0.01226	-0.01199	-0.01226
1.4	-0.01156	-0.01186	-0.01156	-0.01186
1.5	-0.01099	-0.01133	-0.01099	-0.01133
1.6	-0.01029	-0.01068	-0.01029	-0.01068
1.7	-0.00932	-0.00979	-0.00932	-0.00979
1.8	-0.00795	-0.00856	-0.00795	-0.00856
1.9	-0.00527	-0.00589	-0.00527	-0.00589
2.0	0.00000	0.00000	0.00000	0.00000
