# h/L	beta F_att^SC	beta F^SC
0.1	-0.0196168	-0.00810388
0.2	-0.017909	-0.00986177
0.3	-0.0169144	-0.0108945
0.4	-0.0162113	-0.0116298
0.5	-0.0156675	-0.0122018
0.6	-0.0152245	-0.0126704
0.7	-0.0148508	-0.0130675
0.8	-0.0145279	-0.0134122
0.9	-0.0142437	-0.0137169
1	-0.01399	-0.01399
1.1	-0.0137367	-0.0137367
1.2	-0.0134543	-0.0134543
1.3	-0.013135	-0.013135
1.4	-0.0127676	-0.0127676
1.5	-0.0123348	-0.0123348
1.6	-0.0118081	-0.0118081
1.7	-0.0111343	-0.0111343
1.8	-0.0101964	-0.0101964
1.9	-0.00863234	-0.00863234
2	0	0
