# h/L	beta F_att^SC	beta F^SC
0.1	-0.000608592	0.0109043
0.2	-0.000337365	0.00770982
0.3	-0.000234081	0.00578578
0.4	-0.00017935	0.0044021
0.5	-0.000145403	0.00332033
0.6	-0.000122276	0.00243185
0.7	-0.000105504	0.00167787
0.8	-9.27809e-05	0.00102294
0.9	-8.27982e-05	0.000444004
1	-7.4756e-05	-7.4756e-05
1.1	-6.74748e-05	-6.74748e-05
1.2	-6.01521e-05	-6.01521e-05
1.3	-5.27872e-05	-5.27872e-05
1.4	-4.53795e-05	-4.53795e-05
1.5	-3.79285e-05	-3.79285e-05
1.6	-3.04334e-05	-3.04334e-05
1.7	-2.28937e-05	-2.28937e-05
1.8	-1.53086e-05	-1.53086e-05
1.9	-7.67754e-06	-7.67754e-06
2	0	0
