# h/L  beta F_att^SC   beta F_att^MC   beta F^SC  beta F^MC
0.1	-0.02847	-0.02872	-0.01696	-0.01721
0.2	-0.02678	-0.02703	-0.01873	-0.01898
0.3	-0.02574	-0.02599	-0.01972	-0.01997
0.4	-0.02504	-0.02529	-0.02046	-0.02071
0.5	-0.02446	-0.02471	-0.02099	-0.02124
0.6	-0.02398	-0.02423	-0.02142	-0.02168
0.7	-0.02358	-0.02383	-0.02179	-0.02205
0.8	-0.02324	-0.02350	-0.02212	-0.02238
0.9	-0.02290	-0.02316	-0.02237	-0.02264
1.0	-0.02259	-0.02287	-0.02259	-0.02287
1.1	-0.02225	-0.02256	-0.02225	-0.02256
1.2	-0.02185	-0.02220	-0.02185	-0.02220
1.3	-0.02139	-0.02179	-0.02139	-0.02179
1.4	-0.02085	-0.02130	-0.02085	-0.02130
1.5	-0.02010	-0.02061	-0.02010	-0.02061
1.6	-0.01906	-0.01964	-0.01906	-0.01964
1.7	-0.01760	-0.01830	-0.01760	-0.01830
1.8	-0.01548	-0.01636	-0.01548	-0.01636
1.9	-0.01066	-0.01149	-0.01066	-0.01149
2.0	0.00000	0.00000	0.00000	0.00000
