# h/L	beta F_att^SC	beta F^SC
0.1	-0.000600118	0.0109128
0.2	-0.000336957	0.00771023
0.3	-0.000234219	0.00578564
0.4	-0.000181348	0.00440011
0.5	-0.000145979	0.00331976
0.6	-0.00012218	0.00243195
0.7	-0.000105768	0.00167761
0.8	-9.33642e-05	0.00102235
0.9	-8.31474e-05	0.000443655
1	-7.50377e-05	-7.50377e-05
1.1	-6.72152e-05	-6.72152e-05
1.2	-5.98011e-05	-5.98011e-05
1.3	-5.2358e-05	-5.2358e-05
1.4	-4.5253e-05	-4.5253e-05
1.5	-3.73971e-05	-3.73971e-05
1.6	-3.02467e-05	-3.02467e-05
1.7	-2.25545e-05	-2.25545e-05
1.8	-1.50503e-05	-1.50503e-05
1.9	-7.07278e-06	-7.07278e-06
2	0	0
