# h/L	beta F_att^SC	beta F^SC
0.1	-0.0191986	-0.00768566
0.2	-0.0175354	-0.00948825
0.3	-0.0165345	-0.0105147
0.4	-0.015861	-0.0112795
0.5	-0.0152993	-0.0118336
0.6	-0.0148432	-0.012289
0.7	-0.0144727	-0.0126894
0.8	-0.0141584	-0.0130427
0.9	-0.0138542	-0.0133274
1	-0.0135814	-0.0135814
1.1	-0.0132769	-0.0132769
1.2	-0.012938	-0.012938
1.3	-0.0125547	-0.0125547
1.4	-0.0121161	-0.0121161
1.5	-0.0115345	-0.0115345
1.6	-0.010817	-0.010817
1.7	-0.00981455	-0.00981455
1.8	-0.00840072	-0.00840072
1.9	-0.00559277	-0.00559277
2	0	0
