h / L	F_rep (kT/L^2)	F_att (kT/L^2)	F_plate (kT/L^2)
0.05	95.86343	-11.16289	84.70054
0.1	73.68272	-7.03468	66.64804
0.15	60.70784	-5.208134	55.49971
0.2	51.50201	-4.153519	47.34849
0.25	44.36142	-3.460979	40.90044
0.3	38.52713	-2.969412	35.55772
0.35	33.59431	-2.601627	30.99268
0.4	29.3213	-2.315734	27.00557
0.45	25.55225	-2.086936	23.46531
0.5	22.18071	-1.899583	20.28113
0.55	19.13078	-1.743289	17.38749
0.6	16.34642	-1.610888	14.73553
0.65	13.78505	-1.497268	12.28779
0.7	11.4136	-1.398682	10.01492
0.75	9.205826	-1.312322	7.893504
0.8	7.140594	-1.23604	5.904553
0.85	5.200606	-1.168164	4.032441
0.9	3.371537	-1.107374	2.264162
0.95	1.641385	-1.052613	0.5887723
1	-0	-1.003024	-1.003024
1.05	-0	-0.9556447	-0.9556447
1.1	-0	-0.9079979	-0.9079979
1.15	-0	-0.8600803	-0.8600803
1.2	-0	-0.8118881	-0.8118881
1.25	-0	-0.7634173	-0.7634173
1.3	-0	-0.714664	-0.714664
1.35	-0	-0.6656241	-0.6656241
1.4	-0	-0.6162935	-0.6162935
1.45	-0	-0.5666677	-0.5666677
1.5	-0	-0.5167426	-0.5167426
1.55	-0	-0.4665134	-0.4665134
1.6	-0	-0.4159757	-0.4159757
1.65	-0	-0.3651247	-0.3651247
1.7	-0	-0.3139556	-0.3139556
1.75	-0	-0.2624633	-0.2624633
1.8	-0	-0.2106428	-0.2106428
1.85	-0	-0.1584887	-0.1584887
1.9	-0	-0.1059958	-0.1059958
1.95	-0	-0.05315844	-0.05315844
2	-0	0	0
