h / L	[ignore: F_rep (kT)]	[ignore: F_att (kT)]	F_sphere (kT)
0.05	0	0	1784.519
0.1	0	0	1487.347
0.15	0	0	1247.511
0.2	0	0	1045.569
0.25	0	0	872.2924
0.3	0	0	722.1671
0.35	0	0	591.4957
0.4	0	0	477.6164
0.45	0	0	378.5171
0.5	0	0	292.6211
0.55	0	0	218.659
0.6	0	0	155.5856
0.65	0	0	102.5254
0.7	0	0	58.73415
0.75	0	0	23.57105
0.8	0	0	-3.521374
0.85	0	0	-23.03262
0.9	0	0	-35.39597
0.95	0	0	-40.99769
1	0	0	-40.18431
1.05	0	0	-36.33847
1.1	0	0	-32.67922
1.15	0	0	-29.20761
1.2	0	0	-25.9247
1.25	0	0	-22.8316
1.3	0	0	-19.92939
1.35	0	0	-17.2192
1.4	0	0	-14.70217
1.45	0	0	-12.37943
1.5	0	0	-10.25216
1.55	0	0	-8.321536
1.6	0	0	-6.588773
1.65	0	0	-5.055086
1.7	0	0	-3.721715
1.75	0	0	-2.589919
1.8	0	0	-1.660977
1.85	0	0	-0.9361892
1.9	0	0	-0.416875
1.95	0	0	-0.1043764
2	0	0	0
