h / L	[ignore: F_rep (kT)]	[ignore: F_att (kT)]	F_sphere (kT)
0.05	0	0	59.22459
0.1	0	0	49.49824
0.15	0	0	41.74948
0.2	0	0	35.26631
0.25	0	0	29.72172
0.3	0	0	24.92486
0.35	0	0	20.75
0.4	0	0	17.10784
0.45	0	0	13.93165
0.5	0	0	11.1696
0.55	0	0	8.780284
0.6	0	0	6.72984
0.65	0	0	4.99006
0.7	0	0	3.537082
0.75	0	0	2.350451
0.8	0	0	1.412443
0.85	0	0	0.7075456
0.9	0	0	0.2220733
0.95	0	0	-0.05614141
1	0	0	-0.1379859
1.05	0	0	-0.1245623
1.1	0	0	-0.1118224
1.15	0	0	-0.09976682
1.2	0	0	-0.08839598
1.25	0	0	-0.07771041
1.3	0	0	-0.0677106
1.35	0	0	-0.05839705
1.4	0	0	-0.04977026
1.45	0	0	-0.04183075
1.5	0	0	-0.034579
1.55	0	0	-0.02801552
1.6	0	0	-0.02214083
1.65	0	0	-0.01695541
1.7	0	0	-0.01245979
1.75	0	0	-0.008654473
1.8	0	0	-0.005539959
1.85	0	0	-0.003116763
1.9	0	0	-0.001385394
1.95	0	0	-0.0003463655
2	0	0	0
