h / L	F_rep (kT/L^2)	F_att (kT/L^2)	F_plate (kT/L^2)
0.05	10.65149	-0.2318847	10.41961
0.1	8.186969	-0.1230445	8.063925
0.15	6.745316	-0.08382624	6.661489
0.2	5.722446	-0.06358025	5.658866
0.25	4.929047	-0.05121548	4.877831
0.3	4.280792	-0.04287842	4.237914
0.35	3.732701	-0.03687627	3.695825
0.4	3.257923	-0.03234846	3.225574
0.45	2.839138	-0.0288111	2.810327
0.5	2.464523	-0.0259712	2.438552
0.55	2.125643	-0.02364098	2.102002
0.6	1.816269	-0.02169451	1.794574
0.65	1.531673	-0.0200442	1.511628
0.7	1.268178	-0.01862723	1.24955
0.75	1.02287	-0.01739738	1.005472
0.8	0.7933993	-0.01631988	0.7770794
0.85	0.5778451	-0.01536807	0.562477
0.9	0.3746152	-0.01452117	0.360094
0.95	0.1823762	-0.01376273	0.1686134
1	-0	-0.01307959	-0.01307959
1.05	-0	-0.01243012	-0.01243012
1.1	-0	-0.01178018	-0.01178018
1.15	-0	-0.01112977	-0.01112977
1.2	-0	-0.01047888	-0.01047888
1.25	-0	-0.009827525	-0.009827525
1.3	-0	-0.009175691	-0.009175691
1.35	-0	-0.008523381	-0.008523381
1.4	-0	-0.007870594	-0.007870594
1.45	-0	-0.007217329	-0.007217329
1.5	-0	-0.006563586	-0.006563586
1.55	-0	-0.005909363	-0.005909363
1.6	-0	-0.00525466	-0.00525466
1.65	-0	-0.004599476	-0.004599476
1.7	-0	-0.00394381	-0.00394381
1.75	-0	-0.003287661	-0.003287661
1.8	-0	-0.002631028	-0.002631028
1.85	-0	-0.001973911	-0.001973911
1.9	-0	-0.001316308	-0.001316308
1.95	-0	-0.0006582183	-0.0006582183
2	-0	0	0
