h / L	[ignore: F_rep (kT)]	[ignore: F_att (kT)]	F_sphere (kT)
0.05	0	0	215.4163
0.1	0	0	180.0752
0.15	0	0	151.7681
0.2	0	0	128.0258
0.25	0	0	107.6941
0.3	0	0	90.09205
0.35	0	0	74.76818
0.4	0	0	61.40012
0.45	0	0	49.74596
0.5	0	0	39.61735
0.55	0	0	30.86336
0.6	0	0	23.36037
0.65	0	0	17.00518
0.7	0	0	11.7104
0.75	0	0	7.401002
0.8	0	0	4.011905
0.85	0	0	1.486105
0.9	0	0	-0.226743
0.95	0	0	-1.171429
1	0	0	-1.388057
1.05	0	0	-1.253532
1.1	0	0	-1.125782
1.15	0	0	-1.004821
1.2	0	0	-0.8906621
1.25	0	0	-0.7833175
1.3	0	0	-0.6828008
1.35	0	0	-0.5891252
1.4	0	0	-0.5023039
1.45	0	0	-0.4223502
1.5	0	0	-0.3492776
1.55	0	0	-0.2830995
1.6	0	0	-0.2238294
1.65	0	0	-0.1714808
1.7	0	0	-0.1260675
1.75	0	0	-0.08760318
1.8	0	0	-0.05610158
1.85	0	0	-0.03157657
1.9	0	0	-0.01404208
1.95	0	0	-0.003512107
2	0	0	0
