h / L	[ignore: F_rep (kT)]	[ignore: F_att (kT)]	F_sphere (kT)
0.05	0	0	967.1624
0.1	0	0	737.282
0.15	0	0	553.7286
0.2	0	0	400.9163
0.25	0	0	271.5453
0.3	0	0	161.2702
0.35	0	0	67.17602
0.4	0	0	-12.84061
0.45	0	0	-80.37556
0.5	0	0	-136.6844
0.55	0	0	-182.7828
0.6	0	0	-219.5107
0.65	0	0	-247.5749
0.7	0	0	-267.5791
0.75	0	0	-280.0455
0.8	0	0	-285.4303
0.85	0	0	-284.1358
0.9	0	0	-276.5196
0.95	0	0	-262.9019
1	0	0	-243.5709
1.05	0	0	-221.8735
1.1	0	0	-201.0291
1.15	0	0	-181.0565
1.2	0	0	-161.9756
1.25	0	0	-143.8074
1.3	0	0	-126.574
1.35	0	0	-110.2988
1.4	0	0	-95.00659
1.45	0	0	-80.7238
1.5	0	0	-67.47851
1.55	0	0	-55.30072
1.6	0	0	-44.22256
1.65	0	0	-34.27854
1.7	0	0	-25.50587
1.75	0	0	-17.94481
1.8	0	0	-11.6391
1.85	0	0	-6.636506
1.9	0	0	-2.989454
1.95	0	0	-0.75584
2	0	0	0
