h / L	[ignore: F_rep (kT)]	[ignore: F_att (kT)]	F_sphere (kT)
0.05	0	0	57.73157
0.1	0	0	48.26015
0.15	0	0	40.67386
0.2	0	0	34.31092
0.25	0	0	28.86201
0.3	0	0	24.14467
0.35	0	0	20.03787
0.4	0	0	16.45523
0.45	0	0	13.33192
0.5	0	0	10.61745
0.55	0	0	8.271381
0.6	0	0	6.260578
0.65	0	0	4.557389
0.7	0	0	3.138387
0.75	0	0	1.983469
0.8	0	0	1.075191
0.85	0	0	0.3982762
0.9	0	0	-0.06076712
0.95	0	0	-0.3139429
1	0	0	-0.3719994
1.05	0	0	-0.3359466
1.1	0	0	-0.3017097
1.15	0	0	-0.2692921
1.2	0	0	-0.2386974
1.25	0	0	-0.2099291
1.3	0	0	-0.1829906
1.35	0	0	-0.1578855
1.4	0	0	-0.1346174
1.45	0	0	-0.1131899
1.5	0	0	-0.0936064
1.55	0	0	-0.07587066
1.6	0	0	-0.05998627
1.65	0	0	-0.04595686
1.7	0	0	-0.03378609
1.75	0	0	-0.02347765
1.8	0	0	-0.01503522
1.85	0	0	-0.008462521
1.9	0	0	-0.003763278
1.95	0	0	-0.0009412446
2	0	0	0
