h / L	[ignore: F_rep (kT)]	[ignore: F_att (kT)]	F_sphere (kT)
0.05	0	0	259.1995
0.1	0	0	197.5916
0.15	0	0	148.3993
0.2	0	0	107.4456
0.25	0	0	72.77415
0.3	0	0	43.2204
0.35	0	0	18.00317
0.4	0	0	-3.441283
0.45	0	0	-21.54065
0.5	0	0	-36.63142
0.55	0	0	-48.9858
0.6	0	0	-58.82887
0.65	0	0	-66.35006
0.7	0	0	-71.7112
0.75	0	0	-75.05219
0.8	0	0	-76.49531
0.85	0	0	-76.14839
0.9	0	0	-74.10726
0.95	0	0	-70.45771
1	0	0	-65.277
1.05	0	0	-59.4621
1.1	0	0	-53.8758
1.15	0	0	-48.52314
1.2	0	0	-43.40947
1.25	0	0	-38.54039
1.3	0	0	-33.92183
1.35	0	0	-29.56007
1.4	0	0	-25.46177
1.45	0	0	-21.63398
1.5	0	0	-18.08424
1.55	0	0	-14.82059
1.6	0	0	-11.85165
1.65	0	0	-9.186649
1.7	0	0	-6.835573
1.75	0	0	-4.809209
1.8	0	0	-3.119279
1.85	0	0	-1.778584
1.9	0	0	-0.8011737
1.95	0	0	-0.2025651
2	0	0	0
