h / L	[ignore: F_rep (kT)]	[ignore: F_att (kT)]	F_sphere (kT)
0.05	0	0	54.22237
0.1	0	0	45.2418
0.15	0	0	38.00156
0.2	0	0	31.90862
0.25	0	0	26.68181
0.3	0	0	22.1534
0.35	0	0	18.21112
0.4	0	0	14.77422
0.45	0	0	11.78177
0.5	0	0	9.186058
0.55	0	0	6.948707
0.6	0	0	5.038154
0.65	0	0	3.427979
0.7	0	0	2.095731
0.75	0	0	1.022101
0.8	0	0	0.1902959
0.85	0	0	-0.4144217
0.9	0	0	-0.80509
0.95	0	0	-0.9933271
1	0	0	-0.9895519
1.05	0	0	-0.8945575
1.1	0	0	-0.8042138
1.15	0	0	-0.7185433
1.2	0	0	-0.6375683
1.25	0	0	-0.5613115
1.3	0	0	-0.489796
1.35	0	0	-0.4230451
1.4	0	0	-0.3610823
1.45	0	0	-0.3039316
1.5	0	0	-0.251617
1.55	0	0	-0.204163
1.6	0	0	-0.1615945
1.65	0	0	-0.1239364
1.7	0	0	-0.09121421
1.75	0	0	-0.06345367
1.8	0	0	-0.04068083
1.85	0	0	-0.02292212
1.9	0	0	-0.01020429
1.95	0	0	-0.002554486
2	0	0	0
