h / L	F_rep (kT/L^2)	F_att (kT/L^2)	F_plate (kT/L^2)
0.05	95.86343	-19.40112	76.46231
0.1	73.68272	-13.40931	60.27341
0.15	60.70784	-10.49562	50.21222
0.2	51.50201	-8.701308	42.80071
0.25	44.36142	-7.464403	36.89702
0.3	38.52713	-6.552006	31.97512
0.35	33.59431	-5.847529	27.74678
0.4	29.3213	-5.285286	24.03602
0.45	25.55225	-4.825109	20.72714
0.5	22.18071	-4.440903	17.73981
0.55	19.13078	-4.114911	15.01587
0.6	16.34642	-3.834589	12.51183
0.65	13.78505	-3.590806	10.19425
0.7	11.4136	-3.376742	8.036856
0.75	9.205826	-3.187198	6.018628
0.8	7.140594	-3.018133	4.12246
0.85	5.200606	-2.866357	2.334249
0.9	3.371537	-2.729316	0.6422205
0.95	1.641385	-2.604941	-0.9635556
1	-0	-2.491536	-2.491536
1.05	-0	-2.382474	-2.382474
1.1	-0	-2.27208	-2.27208
1.15	-0	-2.160315	-2.160315
1.2	-0	-2.047138	-2.047138
1.25	-0	-1.932505	-1.932505
1.3	-0	-1.816371	-1.816371
1.35	-0	-1.698686	-1.698686
1.4	-0	-1.5794	-1.5794
1.45	-0	-1.45846	-1.45846
1.5	-0	-1.33581	-1.33581
1.55	-0	-1.211388	-1.211388
1.6	-0	-1.085132	-1.085132
1.65	-0	-0.9569736	-0.9569736
1.7	-0	-0.8268424	-0.8268424
1.75	-0	-0.6946616	-0.6946616
1.8	-0	-0.5603503	-0.5603503
1.85	-0	-0.4238217	-0.4238217
1.9	-0	-0.284983	-0.284983
1.95	-0	-0.143735	-0.143735
2	-0	0	0
