h / L	F_rep (kT/L^2)	F_att (kT/L^2)	F_plate (kT/L^2)
0.05	95.86343	-56.25397	39.60947
0.1	73.68272	-46.61076	27.07196
0.15	60.70784	-41.21027	19.49757
0.2	51.50201	-37.50818	13.99384
0.25	44.36142	-34.71996	9.641455
0.3	38.52713	-32.50071	6.026423
0.35	33.59431	-30.66849	2.925819
0.4	29.3213	-29.11584	0.2054637
0.45	25.55225	-27.77409	-2.221846
0.5	22.18071	-26.59678	-4.416068
0.55	19.13078	-25.55103	-6.420246
0.6	16.34642	-24.61278	-8.266355
0.65	13.78505	-23.76387	-9.978818
0.7	11.4136	-22.99032	-11.57672
0.75	9.205826	-22.2811	-13.07528
0.8	7.140594	-21.6274	-14.4868
0.85	5.200606	-21.02204	-15.82143
0.9	3.371537	-20.45912	-17.08759
0.95	1.641385	-19.93374	-18.29236
1	-0	-19.44177	-19.44177
1.05	-0	-18.95615	-18.95615
1.1	-0	-18.45123	-18.45123
1.15	-0	-17.92528	-17.92528
1.2	-0	-17.37636	-17.37636
1.25	-0	-16.80219	-16.80219
1.3	-0	-16.20015	-16.20015
1.35	-0	-15.56716	-15.56716
1.4	-0	-14.89959	-14.89959
1.45	-0	-14.19308	-14.19308
1.5	-0	-13.44236	-13.44236
1.55	-0	-12.64094	-12.64094
1.6	-0	-11.78071	-11.78071
1.65	-0	-10.85133	-10.85133
1.7	-0	-9.839262	-9.839262
1.75	-0	-8.726274	-8.726274
1.8	-0	-7.486808	-7.486808
1.85	-0	-6.083209	-6.083209
1.9	-0	-4.455974	-4.455974
1.95	-0	-2.500804	-2.500804
2	-0	0	0
