h / L	[ignore: F_rep (kT)]	[ignore: F_att (kT)]	F_sphere (kT)
0.05	0	0	-1099.938
0.1	0	0	-1230.866
0.15	0	0	-1322.306
0.2	0	0	-1388.066
0.25	0	0	-1434.474
0.3	0	0	-1465.237
0.35	0	0	-1482.815
0.4	0	0	-1488.963
0.45	0	0	-1485.004
0.5	0	0	-1471.971
0.55	0	0	-1450.694
0.6	0	0	-1421.857
0.65	0	0	-1386.032
0.7	0	0	-1343.708
0.75	0	0	-1295.304
0.8	0	0	-1241.186
0.85	0	0	-1181.676
0.9	0	0	-1117.059
0.95	0	0	-1047.591
1	0	0	-973.5
1.05	0	0	-898.1058
1.1	0	0	-824.6566
1.15	0	0	-753.2315
1.2	0	0	-683.9169
1.25	0	0	-616.8075
1.3	0	0	-552.0075
1.35	0	0	-489.6326
1.4	0	0	-429.8113
1.45	0	0	-372.6879
1.5	0	0	-318.4259
1.55	0	0	-267.2114
1.6	0	0	-219.2596
1.65	0	0	-174.8218
1.7	0	0	-134.1959
1.75	0	0	-97.74253
1.8	0	0	-65.90822
1.85	0	0	-39.26356
1.9	0	0	-18.56992
1.95	0	0	-4.910317
2	0	0	0
