h / L	[ignore: F_rep (kT)]	[ignore: F_att (kT)]	F_sphere (kT)
0.05	0	0	220.9873
0.1	0	0	184.6949
0.15	0	0	155.7817
0.2	0	0	131.5907
0.25	0	0	110.9019
0.3	0	0	93.00322
0.35	0	0	77.42536
0.4	0	0	63.83522
0.45	0	0	51.98376
0.5	0	0	41.67761
0.55	0	0	32.76225
0.6	0	0	25.11134
0.65	0	0	18.61963
0.7	0	0	13.19807
0.75	0	0	8.77034
0.8	0	0	5.270309
0.85	0	0	2.640096
0.9	0	0	0.8286317
0.95	0	0	-0.2094829
1	0	0	-0.5148728
1.05	0	0	-0.4647846
1.1	0	0	-0.4172478
1.15	0	0	-0.3722642
1.2	0	0	-0.3298357
1.25	0	0	-0.2899642
1.3	0	0	-0.2526515
1.35	0	0	-0.2178994
1.4	0	0	-0.1857099
1.45	0	0	-0.1560849
1.5	0	0	-0.1290261
1.55	0	0	-0.1045355
1.6	0	0	-0.08261502
1.65	0	0	-0.06326647
1.7	0	0	-0.04649177
1.75	0	0	-0.03229281
1.8	0	0	-0.02067149
1.85	0	0	-0.01162971
1.9	0	0	-0.005169381
1.95	0	0	-0.001292409
2	0	0	0
