h / L	F_rep (kT/L^2)	F_att (kT/L^2)	F_plate (kT/L^2)
0.05	95.86343	-30.03561	65.82783
0.1	73.68272	-22.4334	51.24933
0.15	60.70784	-18.47424	42.2336
0.2	51.50201	-15.90893	35.59308
0.25	44.36142	-14.0664	30.29502
0.3	38.52713	-12.65946	25.86767
0.35	33.59431	-11.54023	22.05408
0.4	29.3213	-10.62325	18.69805
0.45	25.55225	-9.855031	15.69721
0.5	22.18071	-9.200064	12.98065
0.55	19.13078	-8.633692	10.49709
0.6	16.34642	-8.138168	8.208252
0.65	13.78505	-7.700344	6.08471
0.7	11.4136	-7.310236	4.103363
0.75	9.205826	-6.960109	2.245718
0.8	7.140594	-6.643863	0.496731
0.85	5.200606	-6.356614	-1.156008
0.9	3.371537	-6.0944	-2.722864
0.95	1.641385	-5.853969	-4.212583
1	-0	-5.632621	-5.632621
1.05	-0	-5.417763	-5.417763
1.1	-0	-5.198216	-5.198216
1.15	-0	-4.97374	-4.97374
1.2	-0	-4.744071	-4.744071
1.25	-0	-4.508924	-4.508924
1.3	-0	-4.267985	-4.267985
1.35	-0	-4.020914	-4.020914
1.4	-0	-3.767334	-3.767334
1.45	-0	-3.506829	-3.506829
1.5	-0	-3.238941	-3.238941
1.55	-0	-2.963157	-2.963157
1.6	-0	-2.678905	-2.678905
1.65	-0	-2.385542	-2.385542
1.7	-0	-2.082342	-2.082342
1.75	-0	-1.768476	-1.768476
1.8	-0	-1.442995	-1.442995
1.85	-0	-1.104805	-1.104805
1.9	-0	-0.7526241	-0.7526241
1.95	-0	-0.3849462	-0.3849462
2	-0	0	0
