h / L	[ignore: F_rep (kT)]	[ignore: F_att (kT)]	F_sphere (kT)
0.05	0	0	32.61297
0.1	0	0	25.51998
0.15	0	0	19.83459
0.2	0	0	15.08442
0.25	0	0	11.04768
0.3	0	0	7.592128
0.35	0	0	4.62899
0.4	0	0	2.09414
0.45	0	0	-0.06109137
0.5	0	0	-1.875008
0.55	0	0	-3.378605
0.6	0	0	-4.597511
0.65	0	0	-5.5533
0.7	0	0	-6.264401
0.75	0	0	-6.746746
0.8	0	0	-7.014259
0.85	0	0	-7.079214
0.9	0	0	-6.952524
0.95	0	0	-6.643952
1	0	0	-6.162291
1.05	0	0	-5.607322
1.1	0	0	-5.074879
1.15	0	0	-4.565411
1.2	0	0	-4.079392
1.25	0	0	-3.617319
1.3	0	0	-3.179715
1.35	0	0	-2.767127
1.4	0	0	-2.380136
1.45	0	0	-2.019353
1.5	0	0	-1.685424
1.55	0	0	-1.379037
1.6	0	0	-1.100921
1.65	0	0	-0.8518524
1.7	0	0	-0.6326624
1.75	0	0	-0.4442404
1.8	0	0	-0.2875429
1.85	0	0	-0.1636017
1.9	0	0	-0.07353456
1.95	0	0	-0.01855745
2	0	0	0
