h / L	[ignore: F_rep (kT)]	[ignore: F_att (kT)]	F_sphere (kT)
0.05	0	0	174.4197
0.1	0	0	143.8679
0.15	0	0	119.1686
0.2	0	0	98.36265
0.25	0	0	80.52082
0.3	0	0	65.08647
0.35	0	0	51.68503
0.4	0	0	40.04583
0.45	0	0	29.96348
0.5	0	0	21.27646
0.55	0	0	13.85425
0.6	0	0	7.589062
0.65	0	0	2.390335
0.7	0	0	-1.819151
0.75	0	0	-5.10604
0.8	0	0	-7.528459
0.85	0	0	-9.137561
0.9	0	0	-9.978725
0.95	0	0	-10.09248
1	0	0	-9.515266
1.05	0	0	-8.621598
1.1	0	0	-7.768943
1.15	0	0	-6.957742
1.2	0	0	-6.188444
1.25	0	0	-5.461512
1.3	0	0	-4.777422
1.35	0	0	-4.136661
1.4	0	0	-3.539731
1.45	0	0	-2.987149
1.5	0	0	-2.479446
1.55	0	0	-2.017168
1.6	0	0	-1.600879
1.65	0	0	-1.231161
1.7	0	0	-0.9086116
1.75	0	0	-0.6338503
1.8	0	0	-0.4075157
1.85	0	0	-0.2302682
1.9	0	0	-0.1027908
1.95	0	0	-0.02579075
2	0	0	0
