h / L	[ignore: F_rep (kT)]	[ignore: F_att (kT)]	F_sphere (kT)
0.05	0	0	1496.928
0.1	0	0	1228.448
0.15	0	0	1011.51
0.2	0	0	828.8793
0.25	0	0	672.3932
0.3	0	0	537.1631
0.35	0	0	419.8994
0.4	0	0	318.2241
0.45	0	0	230.3318
0.5	0	0	154.8022
0.55	0	0	90.48655
0.6	0	0	36.43603
0.65	0	0	-8.147253
0.7	0	0	-43.94394
0.75	0	0	-71.54182
0.8	0	0	-91.4538
0.85	0	0	-104.1315
0.9	0	0	-109.9758
0.95	0	0	-109.3449
1	0	0	-102.5608
1.05	0	0	-92.99071
1.1	0	0	-83.85151
1.15	0	0	-75.14853
1.2	0	0	-66.88721
1.25	0	0	-59.0732
1.3	0	0	-51.7123
1.35	0	0	-44.8105
1.4	0	0	-38.37399
1.45	0	0	-32.40917
1.5	0	0	-26.92263
1.55	0	0	-21.92122
1.6	0	0	-17.41202
1.65	0	0	-13.40235
1.7	0	0	-9.899837
1.75	0	0	-6.912371
1.8	0	0	-4.448161
1.85	0	0	-2.515744
1.9	0	0	-1.124009
1.95	0	0	-0.2822231
2	0	0	0
