h / L	F_rep (kT/L^2)	F_att (kT/L^2)	F_plate (kT/L^2)
0.05	10.65149	-0.5361261	10.11537
0.1	8.186969	-0.3032602	7.883709
0.15	6.745316	-0.2123488	6.532967
0.2	5.722446	-0.1635564	5.55889
0.25	4.929047	-0.133053	4.795994
0.3	4.280792	-0.1121607	4.168632
0.35	3.732701	-0.09694886	3.635752
0.4	3.257923	-0.08537544	3.172547
0.45	2.839138	-0.07627324	2.762865
0.5	2.464523	-0.0689265	2.395597
0.55	2.125643	-0.06287169	2.062771
0.6	1.816269	-0.05779538	1.758474
0.65	1.531673	-0.05347798	1.478195
0.7	1.268178	-0.04976106	1.218417
0.75	1.02287	-0.04652745	0.9763421
0.8	0.7933993	-0.04368861	0.7497107
0.85	0.5778451	-0.04117637	0.5366687
0.9	0.3746152	-0.03893743	0.3356777
0.95	0.1823762	-0.03692947	0.1454467
1	-0	-0.0351185	-0.0351185
1.05	-0	-0.03339472	-0.03339472
1.1	-0	-0.03166765	-0.03166765
1.15	-0	-0.02993728	-0.02993728
1.2	-0	-0.02820359	-0.02820359
1.25	-0	-0.02646656	-0.02646656
1.3	-0	-0.02472618	-0.02472618
1.35	-0	-0.02298243	-0.02298243
1.4	-0	-0.0212353	-0.0212353
1.45	-0	-0.01948476	-0.01948476
1.5	-0	-0.01773081	-0.01773081
1.55	-0	-0.01597343	-0.01597343
1.6	-0	-0.0142126	-0.0142126
1.65	-0	-0.01244829	-0.01244829
1.7	-0	-0.01068051	-0.01068051
1.75	-0	-0.00890922	-0.00890922
1.8	-0	-0.007134413	-0.007134413
1.85	-0	-0.005356069	-0.005356069
1.9	-0	-0.003574171	-0.003574171
1.95	-0	-0.001788701	-0.001788701
2	-0	0	0
