h / L	[ignore: F_rep (kT)]	[ignore: F_att (kT)]	F_sphere (kT)
0.05	0	0	46.74447
0.1	0	0	38.55661
0.15	0	0	31.93719
0.2	0	0	26.36119
0.25	0	0	21.57958
0.3	0	0	17.44317
0.35	0	0	13.85159
0.4	0	0	10.73228
0.45	0	0	8.030213
0.5	0	0	5.702092
0.55	0	0	3.712939
0.6	0	0	2.033869
0.65	0	0	0.6406097
0.7	0	0	-0.4875325
0.75	0	0	-1.368419
0.8	0	0	-2.017627
0.85	0	0	-2.448866
0.9	0	0	-2.674298
0.95	0	0	-2.704785
1	0	0	-2.550091
1.05	0	0	-2.310588
1.1	0	0	-2.082077
1.15	0	0	-1.864675
1.2	0	0	-1.658503
1.25	0	0	-1.463685
1.3	0	0	-1.280349
1.35	0	0	-1.108625
1.4	0	0	-0.9486479
1.45	0	0	-0.8005559
1.5	0	0	-0.6644914
1.55	0	0	-0.540601
1.6	0	0	-0.4290356
1.65	0	0	-0.3299511
1.7	0	0	-0.2435079
1.75	0	0	-0.1698719
1.8	0	0	-0.1092142
1.85	0	0	-0.06171186
1.9	0	0	-0.02754793
1.95	0	0	-0.006911921
2	0	0	0
