h / L	F_rep (kT/L^2)	F_att (kT/L^2)	F_plate (kT/L^2)
0.05	10.65149	-3.086013	7.565479
0.1	8.186969	-2.273239	5.91373
0.15	6.745316	-1.854768	4.890548
0.2	5.722446	-1.585965	4.136481
0.25	4.929047	-1.394272	3.534774
0.3	4.280792	-1.248791	3.032001
0.35	3.732701	-1.13368	2.599021
0.4	3.257923	-1.039822	2.218101
0.45	2.839138	-0.9615295	1.877609
0.5	2.464523	-0.8950414	1.569482
0.55	2.125643	-0.8377543	1.287888
0.6	1.816269	-0.7878001	1.028469
0.65	1.531673	-0.7437988	0.7878737
0.7	1.268178	-0.7047057	0.5634719
0.75	1.02287	-0.6697133	0.3531563
0.8	0.7933993	-0.6381866	0.1552126
0.85	0.5778451	-0.6096185	-0.03177341
0.9	0.3746152	-0.5835984	-0.2089832
0.95	0.1823762	-0.55979	-0.3774139
1	-0	-0.5379152	-0.5379152
1.05	-0	-0.5167228	-0.5167228
1.1	-0	-0.4951111	-0.4951111
1.15	-0	-0.4730602	-0.4730602
1.2	-0	-0.4505489	-0.4505489
1.25	-0	-0.4275542	-0.4275542
1.3	-0	-0.4040511	-0.4040511
1.35	-0	-0.3800126	-0.3800126
1.4	-0	-0.3554091	-0.3554091
1.45	-0	-0.3302084	-0.3302084
1.5	-0	-0.304375	-0.304375
1.55	-0	-0.27787	-0.27787
1.6	-0	-0.2506504	-0.2506504
1.65	-0	-0.2226685	-0.2226685
1.7	-0	-0.1938709	-0.1938709
1.75	-0	-0.1641982	-0.1641982
1.8	-0	-0.1335831	-0.1335831
1.85	-0	-0.1019495	-0.1019495
1.9	-0	-0.06921037	-0.06921037
1.95	-0	-0.03526579	-0.03526579
2	-0	0	0
