h / L	[ignore: F_rep (kT)]	[ignore: F_att (kT)]	F_sphere (kT)
0.05	0	0	-294.7833
0.1	0	0	-329.8722
0.15	0	0	-354.3779
0.2	0	0	-372.0016
0.25	0	0	-384.4389
0.3	0	0	-392.6836
0.35	0	0	-397.3944
0.4	0	0	-399.0422
0.45	0	0	-397.9811
0.5	0	0	-394.4881
0.55	0	0	-388.7859
0.6	0	0	-381.0575
0.65	0	0	-371.4566
0.7	0	0	-360.1137
0.75	0	0	-347.1415
0.8	0	0	-332.6378
0.85	0	0	-316.6891
0.9	0	0	-299.3718
0.95	0	0	-280.7543
1	0	0	-260.898
1.05	0	0	-240.6924
1.1	0	0	-221.008
1.15	0	0	-201.866
1.2	0	0	-183.2897
1.25	0	0	-165.3044
1.3	0	0	-147.938
1.35	0	0	-131.2215
1.4	0	0	-115.1894
1.45	0	0	-99.88036
1.5	0	0	-85.33813
1.55	0	0	-71.61266
1.6	0	0	-58.76159
1.65	0	0	-46.85223
1.7	0	0	-35.9645
1.75	0	0	-26.195
1.8	0	0	-17.6634
1.85	0	0	-10.52263
1.9	0	0	-4.976738
1.95	0	0	-1.315965
2	0	0	0
