h / L	[ignore: F_rep (kT)]	[ignore: F_att (kT)]	F_sphere (kT)
0.05	0	0	202.3223
0.1	0	0	168.8127
0.15	0	0	141.7969
0.2	0	0	119.062
0.25	0	0	99.55898
0.3	0	0	82.66195
0.35	0	0	67.95192
0.4	0	0	55.12769
0.45	0	0	43.96183
0.5	0	0	34.27634
0.55	0	0	25.92801
0.6	0	0	18.79908
0.65	0	0	12.79096
0.7	0	0	7.819894
0.75	0	0	3.813811
0.8	0	0	0.7100593
0.85	0	0	-1.54635
0.9	0	0	-3.004067
0.95	0	0	-3.706444
1	0	0	-3.692358
1.05	0	0	-3.337901
1.1	0	0	-3.000798
1.15	0	0	-2.681132
1.2	0	0	-2.378986
1.25	0	0	-2.094446
1.3	0	0	-1.827597
1.35	0	0	-1.578527
1.4	0	0	-1.347322
1.45	0	0	-1.134073
1.5	0	0	-0.9388693
1.55	0	0	-0.7618023
1.6	0	0	-0.6029644
1.65	0	0	-0.4624492
1.7	0	0	-0.3403515
1.75	0	0	-0.2367674
1.8	0	0	-0.1517941
1.85	0	0	-0.08553029
1.9	0	0	-0.03807572
1.95	0	0	-0.009531664
2	0	0	0
