h / L	F_rep (kT/L^2)	F_att (kT/L^2)	F_plate (kT/L^2)
0.05	95.86343	-42.50504	53.3584
0.1	73.68272	-33.69422	39.98851
0.15	60.70784	-28.89565	31.81219
0.2	51.50201	-25.67732	25.82469
0.25	44.36142	-23.29805	21.06337
0.3	38.52713	-21.43505	17.09208
0.35	33.59431	-19.91955	13.67476
0.4	29.3213	-18.65256	10.66874
0.45	25.55225	-17.57134	7.980909
0.5	22.18071	-16.63367	5.547035
0.55	19.13078	-15.80993	3.320859
0.6	16.34642	-15.07851	1.267913
0.65	13.78505	-14.42325	-0.6381974
0.7	11.4136	-13.83175	-2.418155
0.75	9.205826	-13.2943	-4.088478
0.8	7.140594	-12.80317	-5.662579
0.85	5.200606	-12.35211	-7.151504
0.9	3.371537	-11.936	-8.564462
0.95	1.641385	-11.5506	-9.909217
1	-0	-11.19237	-11.19237
1.05	-0	-10.84136	-10.84136
1.1	-0	-10.47918	-10.47918
1.15	-0	-10.10501	-10.10501
1.2	-0	-9.717956	-9.717956
1.25	-0	-9.316978	-9.316978
1.3	-0	-8.900914	-8.900914
1.35	-0	-8.468442	-8.468442
1.4	-0	-8.018041	-8.018041
1.45	-0	-7.547956	-7.547956
1.5	-0	-7.056142	-7.056142
1.55	-0	-6.54019	-6.54019
1.6	-0	-5.997237	-5.997237
1.65	-0	-5.423836	-5.423836
1.7	-0	-4.815769	-4.815769
1.75	-0	-4.167796	-4.167796
1.8	-0	-3.473261	-3.473261
1.85	-0	-2.723499	-2.723499
1.9	-0	-1.906868	-1.906868
1.95	-0	-1.007065	-1.007065
2	-0	0	0
