h / L	[ignore: F_rep (kT)]	[ignore: F_att (kT)]	F_sphere (kT)
0.05	0	0	30.29724
0.1	0	0	-18.82347
0.15	0	0	-56.6062
0.2	0	0	-86.93569
0.25	0	0	-111.609
0.3	0	0	-131.687
0.35	0	0	-147.877
0.4	0	0	-160.687
0.45	0	0	-170.5008
0.5	0	0	-177.6194
0.55	0	0	-182.2858
0.6	0	0	-184.7005
0.65	0	0	-185.0319
0.7	0	0	-183.4236
0.75	0	0	-179.9997
0.8	0	0	-174.8685
0.85	0	0	-168.1255
0.9	0	0	-159.8555
0.95	0	0	-150.1344
1	0	0	-139.0304
1.05	0	0	-127.4358
1.1	0	0	-116.2166
1.15	0	0	-105.3849
1.2	0	0	-94.95368
1.25	0	0	-84.93718
1.3	0	0	-75.35062
1.35	0	0	-66.21057
1.4	0	0	-57.53511
1.45	0	0	-49.34402
1.5	0	0	-41.6591
1.55	0	0	-34.50448
1.6	0	0	-27.90708
1.65	0	0	-21.89712
1.7	0	0	-16.50886
1.75	0	0	-11.78156
1.8	0	0	-7.76071
1.85	0	0	-4.499871
1.9	0	0	-2.063295
1.95	0	0	-0.5299344
2	0	0	0
