h / L	[ignore: F_rep (kT)]	[ignore: F_att (kT)]	F_sphere (kT)
0.05	0	0	121.6902
0.1	0	0	95.22382
0.15	0	0	74.00967
0.2	0	0	56.28514
0.25	0	0	41.22267
0.3	0	0	28.32884
0.35	0	0	17.27235
0.4	0	0	7.813954
0.45	0	0	-0.2279529
0.5	0	0	-6.9963
0.55	0	0	-12.60673
0.6	0	0	-17.15489
0.65	0	0	-20.72127
0.7	0	0	-23.37463
0.75	0	0	-25.17443
0.8	0	0	-26.17261
0.85	0	0	-26.41498
0.9	0	0	-25.94225
0.95	0	0	-24.79087
1	0	0	-22.99362
1.05	0	0	-20.92285
1.1	0	0	-18.93611
1.15	0	0	-17.03511
1.2	0	0	-15.22161
1.25	0	0	-13.49746
1.3	0	0	-11.86461
1.35	0	0	-10.3251
1.4	0	0	-8.881104
1.45	0	0	-7.534897
1.5	0	0	-6.288896
1.55	0	0	-5.145661
1.6	0	0	-4.107913
1.65	0	0	-3.178554
1.7	0	0	-2.360681
1.75	0	0	-1.657614
1.8	0	0	-1.072921
1.85	0	0	-0.6104543
1.9	0	0	-0.2743827
1.95	0	0	-0.06924423
2	0	0	0
