h / L	[ignore: F_rep (kT)]	[ignore: F_att (kT)]	F_sphere (kT)
0.05	0	0	401.1766
0.1	0	0	329.224
0.15	0	0	271.0846
0.2	0	0	222.1397
0.25	0	0	180.2014
0.3	0	0	143.9597
0.35	0	0	112.533
0.4	0	0	85.28406
0.45	0	0	61.72893
0.5	0	0	41.48698
0.55	0	0	24.2504
0.6	0	0	9.764856
0.65	0	0	-2.183464
0.7	0	0	-11.77698
0.75	0	0	-19.17321
0.8	0	0	-24.50962
0.85	0	0	-27.90725
0.9	0	0	-29.47351
0.95	0	0	-29.30442
1	0	0	-27.4863
1.05	0	0	-24.92151
1.1	0	0	-22.47221
1.15	0	0	-20.13981
1.2	0	0	-17.92577
1.25	0	0	-15.83162
1.3	0	0	-13.8589
1.35	0	0	-12.00921
1.4	0	0	-10.28423
1.45	0	0	-8.685657
1.5	0	0	-7.215265
1.55	0	0	-5.874887
1.6	0	0	-4.66642
1.65	0	0	-3.59183
1.7	0	0	-2.653156
1.75	0	0	-1.852515
1.8	0	0	-1.192107
1.85	0	0	-0.6742194
1.9	0	0	-0.3012344
1.95	0	0	-0.07563579
2	0	0	0
