h / L	[ignore: F_rep (kT)]	[ignore: F_att (kT)]	F_sphere (kT)
0.05	0	0	113.0494
0.1	0	0	-70.23681
0.15	0	0	-211.2171
0.2	0	0	-324.3869
0.25	0	0	-416.4514
0.3	0	0	-491.3695
0.35	0	0	-551.78
0.4	0	0	-599.5784
0.45	0	0	-636.1969
0.5	0	0	-662.7589
0.55	0	0	-680.171
0.6	0	0	-689.181
0.65	0	0	-690.4175
0.7	0	0	-684.4163
0.75	0	0	-671.6406
0.8	0	0	-652.4944
0.85	0	0	-627.3341
0.9	0	0	-596.4758
0.95	0	0	-560.2028
1	0	0	-518.77
1.05	0	0	-475.5068
1.1	0	0	-433.6441
1.15	0	0	-393.2271
1.2	0	0	-354.3048
1.25	0	0	-316.9298
1.3	0	0	-281.159
1.35	0	0	-247.0544
1.4	0	0	-214.6832
1.45	0	0	-184.1195
1.5	0	0	-155.4444
1.55	0	0	-128.7481
1.6	0	0	-104.1309
1.65	0	0	-81.70566
1.7	0	0	-61.60024
1.75	0	0	-43.96105
1.8	0	0	-28.95787
1.85	0	0	-16.79056
1.9	0	0	-7.69886
1.95	0	0	-1.977367
2	0	0	0
