h / L	F_rep (kT/L^2)	F_att (kT/L^2)	F_plate (kT/L^2)
0.05	10.65149	-1.952374	8.699119
0.1	8.186969	-1.326225	6.860744
0.15	6.745316	-1.026792	5.718523
0.2	5.722446	-0.844583	4.877863
0.25	4.929047	-0.720142	4.208905
0.3	4.280792	-0.6290439	3.651748
0.35	3.732701	-0.559153	3.173548
0.4	3.257923	-0.5036768	2.754246
0.45	2.839138	-0.4584861	2.380652
0.5	2.464523	-0.4209129	2.04361
0.55	2.125643	-0.3891503	1.736492
0.6	1.816269	-0.3619276	1.454341
0.65	1.531673	-0.3383237	1.193349
0.7	1.268178	-0.3176531	0.9505245
0.75	1.02287	-0.2993951	0.7234745
0.8	0.7933993	-0.2831462	0.5102531
0.85	0.5778451	-0.268589	0.309256
0.9	0.3746152	-0.2554702	0.119145
0.95	0.1823762	-0.2435847	-0.06120857
1	-0	-0.2327653	-0.2327653
1.05	-0	-0.2223764	-0.2223764
1.1	-0	-0.2118771	-0.2118771
1.15	-0	-0.2012645	-0.2012645
1.2	-0	-0.1905357	-0.1905357
1.25	-0	-0.1796876	-0.1796876
1.3	-0	-0.1687168	-0.1687168
1.35	-0	-0.1576201	-0.1576201
1.4	-0	-0.1463937	-0.1463937
1.45	-0	-0.1350341	-0.1350341
1.5	-0	-0.1235372	-0.1235372
1.55	-0	-0.111899	-0.111899
1.6	-0	-0.1001151	-0.1001151
1.65	-0	-0.088181	-0.088181
1.7	-0	-0.07609194	-0.07609194
1.75	-0	-0.06384285	-0.06384285
1.8	-0	-0.05142842	-0.05142842
1.85	-0	-0.03884301	-0.03884301
1.9	-0	-0.02608068	-0.02608068
1.95	-0	-0.01313512	-0.01313512
2	-0	0	0
