# dg0 (kT)	h (nm)	Total F (kT)	F_att (kT)	F_rep (kT)	avg_num_bonds
-30	5	-1574.96	-1632.5	57.5452	114.854
-30	10	-1420.85	-1434.56	13.701	105.371
-30	15	-1244.64	-1247.87	3.23171	93.3837
-30	20	-1073.77	-1074.54	0.77147	82.4801
-30	25	-912.936	-913.427	0.490959	72.3321
-30	30	-757.562	-757.926	0.36362	65.4918

-29	5	-1460.85	-1518.39	57.5452	113.321
-29	10	-1316.66	-1330.36	13.701	102.993
-29	15	-1152.37	-1155.6	3.23171	91.1355
-29	20	-992.245	-993.017	0.77147	80.5251
-29	25	-841.428	-841.919	0.490959	70.6765
-29	30	-692.801	-693.165	0.36362	64.009

-28	5	-1348.43	-1405.97	57.5452	111.448
-28	10	-1214.93	-1228.63	13.701	100.439
-28	15	-1062.4	-1065.63	3.23171	88.7945
-28	20	-912.811	-913.582	0.77147	78.2961
-28	25	-771.598	-772.089	0.490959	68.9772
-28	30	-629.584	-629.947	0.36362	62.4062

-27	5	-1238.1	-1295.64	57.5452	109.137
-27	10	-1115.85	-1129.55	13.701	97.6731
-27	15	-974.835	-978.067	3.23171	86.3008
-27	20	-835.734	-836.505	0.77147	75.83
-27	25	-703.48	-703.971	0.490959	67.2552
-27	30	-568.033	-568.396	0.36362	60.6688

-26	5	-1130.3	-1187.85	57.5452	106.379
-26	10	-1019.65	-1033.35	13.701	94.6919
-26	15	-889.846	-893.078	3.23171	83.6535
-26	20	-761.181	-761.953	0.77147	73.2703
-26	25	-637.099	-637.59	0.490959	65.4987
-26	30	-508.314	-508.678	0.36362	58.7254

-25	5	-1025.47	-1083.01	57.5452	103.23
-25	10	-926.526	-940.227	13.701	91.5381
-25	15	-807.58	-810.812	3.23171	80.8476
-25	20	-689.185	-689.957	0.77147	70.7315
-25	25	-572.515	-573.006	0.490959	63.6474
-25	30	-450.689	-451.052	0.36362	56.4639

-24	5	-923.953	-981.498	57.5452	99.7488
-24	10	-836.624	-850.325	13.701	88.2413
