# dg0 (kT)	h (nm)	Total F (kT)	F_att (kT)	F_rep (kT)	avg_num_bonds
-7.55709	5	53.5625	-11.9144	65.4769	9.37466
-7.80959	5	50.9967	-14.4802	65.4769	10.9734
-8.31952	5	44.4924	-20.9845	65.4769	14.6251
-8.577	5	40.468	-25.0089	65.4769	16.6537
-8.96639	5	33.3564	-32.1205	65.4769	19.9051

-7.55709	10	7.50172	-8.13507	15.6368	6.70992
-7.80959	10	5.65232	-9.98447	15.6368	7.96241
-8.31952	10	0.864589	-14.7722	15.6368	10.9035
-8.577	10	-2.15587	-17.7927	15.6368	12.5779
-8.96639	10	-7.57848	-23.2153	15.6368	15.3099

-7.55709	15	-1.85128	-5.39358	3.5423	4.6147
-7.80959	15	-3.13124	-6.67354	3.5423	5.5441
-8.31952	15	-6.51076	-10.0531	3.5423	7.79268
-8.577	15	-8.68429	-12.2266	3.5423	9.11003
-8.96639	15	-12.6524	-16.1947	3.5423	11.3101

-7.55709	20	-2.33562	-3.19981	0.864191	2.8429
-7.80959	20	-3.12975	-3.99395	0.864191	3.4633
-8.31952	20	-5.27495	-6.13914	0.864191	5.01959
-8.577	20	-6.68678	-7.55097	0.864191	5.96499
-8.96639	20	-9.31919	-10.1834	0.864191	7.59482

-7.55709	25	-1.09737	-1.56131	0.463938	1.44941
-7.80959	25	-1.50591	-1.96985	0.463938	1.79722
-8.31952	25	-2.64279	-3.10673	0.463938	2.71211
-8.577	25	-3.4143	-3.87824	0.463938	3.29499
-8.96639	25	-4.89482	-5.35875	0.463938	4.34323

-7.55709	30	-0.140169	-0.586365	0.446196	0.566944
-7.80959	30	-0.301475	-0.747671	0.446196	0.716119
-8.31952	30	-0.765299	-1.21149	0.446196	1.13127
-8.577	30	-1.09159	-1.53778	0.446196	1.41216
-8.96639	30	-1.74105	-2.18725	0.446196	1.94719

