# h (nm)	DeltaG0 (kT)	avg_num_bonds (explicit)	avg_num_bonds (mean field)
15	-15	418.875	478.532
15	-14.75	415.194	475.744
15	-14.5	411.201	472.605
15	-14.25	406.865	469.074
15	-14	402.152	465.104
15	-13.75	397.029	460.648
15	-13.5	391.457	455.651
15	-13.25	385.399	450.055
15	-13	378.814	443.8
15	-12.75	371.662	436.819
15	-12.5	363.901	429.047
15	-12.25	355.49	420.413
15	-12	346.39	410.847
15	-11.75	336.564	400.284
15	-11.5	325.982	388.66
15	-11.25	314.616	375.92
15	-11	302.451	362.022
15	-10.75	289.483	346.942
15	-10.5	275.723	330.677
15	-10.25	261.201	313.255
15	-10	245.971	294.739
15	-9.75	230.109	275.236
15	-9.5	213.723	254.899
15	-9.25	196.948	233.932
15	-9	179.951	212.588
15	-8.75	162.922	191.165
15	-8.5	146.074	169.992
15	-8.25	129.629	149.415
15	-8	113.812	129.771
15	-7.75	98.8345	111.364
15	-7.5	84.8822	94.4462
15	-7.25	72.102	79.1921
15	-7	60.5933	65.6947
15	-6.75	50.4034	53.9642
15	-6.5	41.528	43.938
15	-6.25	33.9171	35.4973
15	-6	27.4843	28.4862
15	-5.75	22.1182	22.73
15	-5.5	17.6939	18.051
15	-5.25	14.0831	14.279
15	-5	11.1617	11.2592
15	-4.75	8.81539	8.85517
15	-4.5	6.94243	6.95002
15	-4.25	5.45477	5.44576
15	-4	4.27793	4.2615
15	-3.75	3.35001	3.33132
15	-3.5	2.62028	2.60206
15	-3.25	2.04759	2.03114
15	-3	1.5989	1.58469
15	-2.75	1.24781	1.23589
15	-2.5	0.973369	0.963562
15	-2.25	0.759019	0.751062
15	-2	0.591708	0.585316
15	-1.75	0.461178	0.456081
15	-1.5	0.359381	0.355339
15	-1.25	0.280017	0.276825
15	-1	0.218157	0.215645
15	-0.75	0.169949	0.167976
15	-0.5	0.132386	0.130839
15	-0.25	0.10312	0.10191
15	0	0.0803208	0.0793745

25	-15	398.762	464.968
25	-14.75	393.58	460.495
25	-14.5	387.954	455.479
25	-14.25	381.846	449.863
25	-14	375.218	443.585
25	-13.75	368.031	436.58
25	-13.5	360.245	428.781
25	-13.25	351.822	420.117
25	-13	342.722	410.521
25	-12.75	332.912	399.924
25	-12.5	322.361	388.264
25	-12.25	311.044	375.488
25	-12	298.948	361.552
25	-11.75	286.067	346.433
25	-11.5	272.415	330.13
25	-11.25	258.021	312.671
25	-11	242.938	294.121
25	-10.75	227.243	274.588
25	-10.5	211.041	254.227
25	-10.25	194.467	233.244
25	-10	177.683	211.893
25	-9.75	160.875	190.473
25	-9.5	144.251	169.314
25	-9.25	128.029	148.762
25	-9	112.429	129.153
25	-8.75	97.6569	110.791
25	-8.5	83.8941	93.9246
25	-8.25	71.2846	78.7264
25	-8	59.9258	65.2867
25	-7.75	49.8647	53.6128
25	-7.5	41.0976	43.6402
25	-7.25	33.576	35.2484
25	-7	27.2157	28.2808
25	-6.75	21.9077	22.5623
25	-6.5	17.5295	17.9153
25	-6.25	13.955	14.1701
25	-6	11.062	11.1723
25	-5.75	8.73786	8.78612
25	-5.5	6.88215	6.89542
25	-5.25	5.4079	5.40272
25	-5	4.24148	4.22766
25	-4.75	3.32167	3.30477
25	-4.5	2.59823	2.58126
25	-4.25	2.03044	2.01487
25	-4	1.58555	1.57197
25	-3.75	1.23742	1.22596
25	-3.5	0.965283	0.95581
25	-3.25	0.752725	0.745014
25	-3	0.586808	0.5806
25	-2.75	0.457363	0.452404
25	-2.5	0.356411	0.352473
25	-2.25	0.277704	0.274592
25	-2	0.216356	0.213905
25	-1.75	0.168547	0.166621
25	-1.5	0.131294	0.129783
25	-1.25	0.102269	0.101087
25	-1	0.0796584	0.0787337
25	-0.75	0.0620446	0.0613221
25	-0.5	0.0483244	0.0477603
25	-0.25	0.0376375	0.0371973
25	0	0.0293136	0.0289703

