# dg0 (kT)	h (nm)	Total F (kT)	F_att (kT)	F_rep (kT)	avg_num_bonds
-30	5	-1605.99	-1646.83	40.837	110.152
-29	5	-1496.55	-1537.39	40.837	108.692
-28	5	-1388.68	-1429.51	40.837	107.023
-27	5	-1282.56	-1323.4	40.837	105.183
-26	5	-1178.33	-1219.16	40.837	103.297
-25	5	-1075.94	-1116.78	40.837	101.483
-24	5	-975.349	-1016.19	40.837	99.6989
-23	5	-876.614	-917.451	40.837	97.7089
-22	5	-780.108	-820.945	40.837	95.188
-21	5	-686.51	-727.347	40.837	91.8579
-20	5	-596.701	-637.539	40.837	87.6101
-19	5	-511.549	-552.386	40.837	82.5916
-18	5	-431.657	-472.494	40.837	77.1565
-17	5	-357.259	-398.096	40.837	71.6442
-16	5	-288.36	-329.197	40.837	66.1498
-15	5	-225.003	-265.84	40.837	60.5206
-14	5	-167.446	-208.283	40.837	54.5105
-13	5	-116.172	-157.009	40.837	47.9347
-12	5	-71.793	-112.63	40.837	40.7135
-11	5	-34.9528	-75.7898	40.837	32.8756
-10	5	-6.16779	-47.0048	40.837	24.6726
-9	5	14.4704	-26.3666	40.837	16.7151
-8	5	27.6478	-13.1893	40.837	9.91076
-7	5	34.9477	-5.88937	40.837	5.04811
-6	5	38.4363	-2.40076	40.837	2.2363
-5	5	39.9125	-0.92451	40.837	0.898929
-4	5	40.4913	-0.345772	40.837	0.343161
-3	5	40.7097	-0.127296	40.837	0.128067
-2	5	40.7909	-0.0461241	40.837	0.047368
-1	5	40.8209	-0.0161519	40.837	0.0174606
0	5	40.8319	-0.0051106	40.837	0.00642813

-30	10	-1457.13	-1466.9	9.77615	102.098
-29	10	-1355.57	-1365.35	9.77615	101.027
-28	10	-1255.06	-1264.84	9.77615	99.9927
-27	10	-1155.63	-1165.41	9.77615	98.8262
-26	10	-1057.52	-1067.3	9.77615	97.3164
-25	10	-961.193	-970.97	9.77615	95.2258
-24	10	-867.328	-877.104	9.77615	92.3672
-23	10	-776.734	-786.511	9.77615	88.6895
-22	10	-690.174	-699.95	9.77615	84.3453
-21	10	-608.146	-617.922	9.77615	79.6967
-20	10	-530.753	-540.529	9.77615	75.1212
-19	10	-457.827	-467.603	9.77615	70.7663
-18	10	-389.174	-398.95	9.77615	66.5468
-17	10	-324.756	-334.532	9.77615	62.2593
-16	10	-264.757	-274.533	9.77615	57.6695
-15	10	-209.58	-219.356	9.77615	52.5931
-14	10	-159.766	-169.542	9.77615	46.9352
-13	10	-115.908	-125.684	9.77615	40.6835
-12	10	-78.5788	-88.3549	9.77615	33.8939
-11	10	-48.2518	-58.028	9.77615	26.7146
-10	10	-25.1779	-34.954	9.77615	19.4591
-9	10	-9.17263	-18.9488	9.77615	12.6952
-8	10	0.634945	-9.14121	9.77615	7.19172
-7	10	5.82231	-3.95384	9.77615	3.49705
-6	10	8.19896	-1.57719	9.77615	1.49458
-5	10	9.17584	-0.600314	9.77615	0.588521
-4	10	9.55298	-0.223173	9.77615	0.222554
-3	10	9.6944	-0.0817509	9.77615	0.0827407
-2	10	9.7468	-0.0293458	9.77615	0.0305587
-1	10	9.76614	-0.0100149	9.77615	0.0112583
0	10	9.77325	-0.00289643	9.77615	0.00414393

-30	15	-1275.28	-1277.47	2.18421	97.099
-29	15	-1179.04	-1181.22	2.18421	95.2891
-28	15	-1084.92	-1087.1	2.18421	92.847
-27	15	-993.553	-995.737	2.18421	89.7789
-26	15	-905.53	-907.714	2.18421	86.1998
-25	15	-821.232	-823.416	2.18421	82.3868
-24	15	-740.73	-742.914	2.18421	78.6463
-23	15	-663.87	-666.054	2.18421	75.1085
-22	15	-590.448	-592.633	2.18421	71.7637
-21	15	-520.294	-522.478	2.18421	68.5629
-20	15	-453.311	-455.495	2.18421	65.3941
-19	15	-389.552	-391.736	2.18421	62.0872
-18	15	-329.234	-331.418	2.18421	58.4902
-17	15	-272.711	-274.895	2.18421	54.4756
-16	15	-220.458	-222.642	2.18421	49.9383
-15	15	-173.016	-175.2	2.18421	44.8591
-14	15	-130.895	-133.079	2.18421	39.3148
-13	15	-94.5067	-96.6909	2.18421	33.4095
-12	15	-64.1662	-66.3504	2.18421	27.2339
-11	15	-40.0925	-42.2767	2.18421	20.9023
-10	15	-22.3292	-24.5134	2.18421	14.6784
-9	15	-10.521	-12.7052	2.18421	9.10536
-8	15	-3.67221	-5.85642	2.18421	4.85723
-7	15	-0.257391	-2.4416	2.18421	2.23263
-6	15	1.23219	-0.952019	2.18421	0.917555
-5	15	1.82596	-0.358246	2.18421	0.353959
-4	15	2.05179	-0.132415	2.18421	0.132665
-3	15	2.13595	-0.0482597	2.18421	0.0491498
-2	15	2.16706	-0.0171505	2.18421	0.0181286
