# DeltaG0 (kT)	h (nm)	Explicit pair potential (kT / nm^2)	Mean field pair potential (kT / nm^2)
-9.35966	38	-8.08133e-06	-6.82334e-06
-9.35966	38.5	-5.04957e-06	-4.23393e-06
-9.35966	39	-2.33659e-06	-1.94415e-06
-9.35966	39.5	0	0

-9.89012	5	0.0105737	0.010447
-9.89012	5.5	0.00876088	0.00864048
-9.89012	6	0.00732664	0.00721243
-9.89012	6.5	0.00615457	0.0060455
-9.89012	7	0.00517744	0.00507479
-9.89012	7.5	0.00434902	0.00425186
-9.89012	8	0.00364405	0.00355225
-9.89012	8.5	0.00303922	0.00295246
-9.89012	9	0.00252213	0.00244006
-9.89012	9.5	0.00208192	0.00200405
-9.89012	10	0.00171284	0.00163988
-9.89012	10.5	0.00139785	0.00132955
-9.89012	11	0.00112699	0.00106293
-9.89012	11.5	0.00089298	0.000833401
-9.89012	12	0.00068943	0.000633604
-9.89012	12.5	0.00051447	0.000462344
-9.89012	13	0.000364995	0.000317169
-9.89012	13.5	0.000234755	0.000190495
-9.89012	14	0.000125568	8.50385e-05
-9.89012	14.5	3.00332e-05	-7.29746e-06
-9.89012	15	-4.96614e-05	-8.3034e-05
-9.89012	15.5	-0.000118541	-0.000148793
-9.89012	16	-0.000175305	-0.000202522
-9.89012	16.5	-0.000222178	-0.000246009
-9.89012	17	-0.000262715	-0.000283701
-9.89012	17.5	-0.000295244	-0.000313107
-9.89012	18	-0.000320541	-0.000335026
-9.89012	18.5	-0.000339624	-0.000351419
-9.89012	19	-0.000354877	-0.000364094
-9.89012	19.5	-0.000364772	-0.000371093
-9.89012	20	-0.000370603	-0.000374479
-9.89012	20.5	-0.000373082	-0.000374137
-9.89012	21	-0.000373007	-0.000371725
-9.89012	21.5	-0.000370255	-0.000366631
-9.89012	22	-0.000364519	-0.000358544
-9.89012	22.5	-0.000357213	-0.000349154
-9.89012	23	-0.00034835	-0.000338322
-9.89012	23.5	-0.000338002	-0.000326102
-9.89012	24	-0.000326623	-0.000312899
-9.89012	24.5	-0.000313908	-0.000298604
-9.89012	25	-0.00030049	-0.000283789
-9.89012	25.5	-0.000286513	-0.000268463
-9.89012	26	-0.000272092	-0.00025299
-9.89012	26.5	-0.000257233	-0.000237298
-9.89012	27	-0.000242312	-0.000221669
-9.89012	27.5	-0.000227209	-0.000206109
-9.89012	28	-0.000212178	-0.000190822
-9.89012	28.5	-0.0001976	-0.000176108
-9.89012	29	-0.000182916	-0.000161813
-9.89012	29.5	-0.000168802	-0.000147908
-9.89012	30	-0.00015491	-0.000134561
-9.89012	30.5	-0.000141554	-0.000121877
-9.89012	31	-0.00012869	-0.000109814
-9.89012	31.5	-0.000116277	-9.83931e-05
-9.89012	32	-0.00010448	-8.76452e-05
-9.89012	32.5	-9.33729e-05	-7.76906e-05
-9.89012	33	-8.27429e-05	-6.83127e-05
-9.89012	33.5	-7.28322e-05	-5.96543e-05
-9.89012	34	-6.34799e-05	-5.15771e-05
-9.89012	34.5	-5.48549e-05	-4.42703e-05
-9.89012	35	-4.68268e-05	-3.74868e-05
-9.89012	35.5	-3.94371e-05	-3.13909e-05
-9.89012	36	-3.26078e-05	-2.57814e-05
-9.89012	36.5	-2.64002e-05	-2.07393e-05
-9.89012	37	-2.07591e-05	-1.6238e-05
-9.89012	37.5	-1.56495e-05	-1.21613e-05
-9.89012	38	-1.10232e-05	-8.53355e-06
-9.89012	38.5	-6.89963e-06	-5.29635e-06
-9.89012	39	-3.20064e-06	-2.43249e-06
-9.89012	39.5	0	0

-10.4277	5	0.010359	0.0102507
-10.4277	5.5	0.0085544	0.00845082
-10.4277	6	0.00712721	0.00702871
-10.4277	6.5	0.00596167	0.00586741
-10.4277	7	0.00499073	0.00490227
-10.4277	7.5	0.00416798	0.00408446
-10.4277	8	0.00346844	0.00338984
-10.4277	8.5	0.00286861	0.00279473
-10.4277	9	0.00235629	0.00228678
-10.4277	9.5	0.00192064	0.00185504
-10.4277	10	0.00155601	0.00149522
-10.4277	10.5	0.00124506	0.00118893
-10.4277	11	0.000978154	0.000926225
-10.4277	11.5	0.000747901	0.000700531
-10.4277	12	0.000547943	0.00050435
-10.4277	12.5	0.000376534	0.0003367
-10.4277	13	0.000230539	0.000195175
-10.4277	13.5	0.000103462	7.17854e-05
-10.4277	14	-2.37429e-06	-3.01265e-05
-10.4277	14.5	-9.49259e-05	-0.000119373
-10.4277	15	-0.000171623	-0.000191809
-10.4277	15.5	-0.000237779	-0.00025461
-10.4277	16	-0.000291634	-0.000305265
-10.4277	16.5	-0.00033566	-0.000345607
-10.4277	17	-0.000373611	-0.000380502
-10.4277	17.5	-0.000403625	-0.000407071
-10.4277	18	-0.000426322	-0.000426034
-10.4277	18.5	-0.000442803	-0.000439548
-10.4277	19	-0.000455622	-0.000449548
-10.4277	19.5	-0.000463012	-0.000453698
-10.4277	20	-0.000466285	-0.000454291
-10.4277	20.5	-0.000466298	-0.000451115
-10.4277	21	-0.000463731	-0.000445983
-10.4277	21.5	-0.000458523	-0.000438148
-10.4277	22	-0.000450213	-0.000427202
-10.4277	22.5	-0.00044033	-0.000415013
-10.4277	23	-0.000428883	-0.000401398
-10.4277	23.5	-0.000415915	-0.00038637
-10.4277	24	-0.000401903	-0.000370364
-10.4277	24.5	-0.000386459	-0.000353224
-10.4277	25	-0.000370266	-0.000335563
-10.4277	25.5	-0.000353486	-0.00031739
-10.4277	26	-0.000336209	-0.000299101
-10.4277	26.5	-0.000318457	-0.0002806
-10.4277	27	-0.000300625	-0.0002622
-10.4277	27.5	-0.000282557	-0.000243891
-10.4277	28	-0.000264543	-0.000225911
-10.4277	28.5	-0.000247027	-0.000208601
-10.4277	29	-0.000229341	-0.000191778
-10.4277	29.5	-0.00021228	-0.000175404
-10.4277	30	-0.000195423	-0.000159676
-10.4277	30.5	-0.000179152	-0.000144715
-10.4277	31	-0.00016341	-0.000130472
-10.4277	31.5	-0.000148149	-0.000116973
-10.4277	32	-0.000133576	-0.000104257
-10.4277	32.5	-0.000119785	-9.2468e-05
-10.4277	33	-0.000106516	-8.13506e-05
-10.4277	33.5	-9.40771e-05	-7.1076e-05
-10.4277	34	-8.22781e-05	-6.14819e-05
-10.4277	34.5	-7.1332e-05	-5.27953e-05
-10.4277	35	-6.10914e-05	-4.47244e-05
-10.4277	35.5	-5.16116e-05	-3.74653e-05
-10.4277	36	-4.28053e-05	-3.07811e-05
-10.4277	36.5	-3.47583e-05	-2.4769e-05
