# dg0 (kT)	h (nm)	Total F (kT)	F_att (kT)	F_rep (kT)	avg_num_bonds
-7.55709	5	37.8471	-9.68594	47.533	7.58378
-7.55709	10	4.70921	-6.63217	11.3414	5.40666
-7.55709	15	-1.85956	-4.44235	2.58279	3.75242
-7.55709	20	-2.04918	-2.62874	0.579557	2.3284
-7.55709	25	-0.921364	-1.25445	0.333083	1.17209
-7.55709	30	-0.0385955	-0.450686	0.412091	0.438681

-7.80959	5	35.7716	-11.7614	47.533	8.87652
-7.80959	10	3.22099	-8.12038	11.3414	6.39969
-7.80959	15	-2.89824	-5.48103	2.58279	4.4904
-7.80959	20	-2.69909	-3.27865	0.579557	2.83212
-7.80959	25	-1.25217	-1.58526	0.333083	1.45711
-7.80959	30	-0.163635	-0.575725	0.412091	0.556097

-8.31952	5	30.507	-17.0261	47.533	11.8488
-8.31952	10	-0.618952	-11.9603	11.3414	8.7314
-8.31952	15	-5.62419	-8.20698	2.58279	6.26315
-8.31952	20	-4.44964	-5.0292	0.579557	4.08759
-8.31952	25	-2.17654	-2.50962	0.333083	2.21052
-8.31952	30	-0.525535	-0.937625	0.412091	0.886683

-8.577	5	27.2438	-20.2892	47.533	13.5156
-8.577	10	-3.0364	-14.3778	11.3414	10.0628
-8.577	15	-7.3679	-9.95069	2.58279	7.29617
-8.577	20	-5.59778	-6.17734	0.579557	4.84442
-8.577	25	-2.80615	-3.13923	0.333083	2.69199
-8.577	30	-0.782026	-1.19412	0.412091	1.11322

-8.96639	5	21.4616	-26.0714	47.533	16.2158
-8.96639	10	-7.37389	-18.7153	11.3414	12.2475
-8.96639	15	-10.5382	-13.121	2.58279	9.01718
-8.96639	20	-7.73056	-8.31012	0.579557	6.13907
-8.96639	25	-4.01755	-4.35063	0.333083	3.55783
-8.96639	30	-1.29662	-1.70871	0.412091	1.55015

