# dg0 (kT)	h (nm)	Total F (kT)	F_att (kT)	F_rep (kT)	avg_num_bonds
-7.55709	5	31.4863	-9.35079	40.837	7.49103
-7.55709	10	3.39237	-6.38378	9.77615	5.32212
-7.55709	15	-1.83321	-4.01742	2.18421	3.50101
-7.55709	20	-1.39114	-2.14195	0.75081	1.96124
-7.55709	25	-0.442361	-0.898607	0.456246	0.859426
-7.55709	30	0.0562456	-0.28769	0.343936	0.282855

-7.80959	5	29.4299	-11.4071	40.837	8.81993
-7.80959	10	1.92237	-7.85378	9.77615	6.34205
-7.80959	15	-2.80759	-4.9918	2.18421	4.23435
-7.80959	20	-1.94232	-2.69313	0.75081	2.41772
-7.80959	25	-0.686293	-1.14254	0.456246	1.08037
-7.80959	30	-0.0245927	-0.368528	0.343936	0.360471

-8.31952	5	24.1681	-16.669	40.837	11.9023
-8.31952	10	-1.91	-11.6862	9.77615	8.76882
-8.31952	15	-5.40852	-7.59272	2.18421	6.03939
-8.31952	20	-3.46069	-4.2115	0.75081	3.59777
-8.31952	25	-1.38166	-1.8379	0.456246	1.68593
-8.31952	30	-0.260942	-0.604877	0.343936	0.583327

-8.577	5	20.8821	-19.955	40.837	13.6408
-8.577	10	-4.34576	-14.1219	9.77615	10.1699
-8.577	15	-7.09968	-9.28389	2.18421	7.11502
-8.577	20	-4.47992	-5.23073	0.75081	4.3357
-8.577	25	-1.86607	-2.32231	0.456246	2.08877
-8.577	30	-0.430533	-0.774469	0.343936	0.739728

-8.96639	5	15.0279	-25.8092	40.837	16.4623
-8.96639	10	-8.74954	-18.5257	9.77615	12.4855
-8.96639	15	-10.2178	-12.402	2.18421	8.93777
-8.96639	20	-6.41465	-7.16546	0.75081	5.63886
-8.96639	25	-2.82032	-3.27657	0.456246	2.84297
-8.96639	30	-0.775788	-1.11972	0.343936	1.04985

