# i	j	beta * DeltaG^cnf_ij
0	534	23.48082586
0	552	15.24132566
0	573	19.00478538
0	585	10.94038541
0	615	27.80359472
0	620	11.53361086
0	659	11.23533574
0	705	10.29208454
0	711	27.25968752
0	752	23.26000434
0	772	28.90516389
0	794	10.1946928
0	816	28.64092165
0	819	23.18487422
0	845	28.05303664
0	899	20.90055056
0	913	28.43758427
0	915	16.70910732
0	928	18.24754274
0	929	12.48783309
0	950	13.67778879
1	527	12.16895545
1	550	17.61582513
1	642	28.36349843
1	665	10.51751553
1	683	28.29628782
1	709	27.88866217
1	721	28.80351088
1	736	12.64647811
1	749	16.42639536
1	760	27.51513673
1	769	26.82967898
1	771	13.73130082
1	780	28.93029218
1	783	15.06230917
1	812	10.48932894
1	829	24.29402409
1	842	13.7201305
1	885	28.59671762
1	888	15.94024911
1	909	28.22895362
1	914	27.79438921
1	922	28.05181938
1	935	18.32757642
1	976	25.22992519
2	520	27.85624276
2	538	27.80798628
2	595	12.07647268
2	613	23.57084369
2	648	23.57680362
2	654	10.14970575
2	670	27.81686176
2	687	26.57370553
2	690	12.22611443
2	700	28.17214428
2	715	26.12039686
2	728	27.8121585
2	744	16.20437035
2	750	28.8406969
2	807	19.35830995
2	814	28.33269362
2	839	19.09108122
2	849	25.37316274
2	889	27.80684011
3	557	11.58572098
3	579	13.40480678
3	587	29.97262443
3	641	28.185771
3	733	27.8833559
3	756	28.32057661
3	757	12.37755099
3	841	18.74930903
3	850	13.94923395
3	966	14.90669718
4	505	31.3113232
4	508	9.950334399
4	511	28.71177024
4	564	29.04665825
4	576	11.25168396
4	597	18.85472259
4	616	22.27579614
4	697	13.96228068
4	702	30.20843258
4	708	15.44999365
4	737	10.96158039
4	778	13.7971208
4	791	11.33849443
4	792	14.37688798
4	822	29.52295915
4	830	28.08437145
4	850	27.84887085
4	854	27.80152119
4	857	27.81055649
4	881	18.7267925
4	895	10.85618446
4	907	13.97597587
4	946	12.32644383
4	966	27.90518106
4	985	21.43491752
5	511	15.83737089
5	564	13.50114801
5	584	11.02367015
5	598	15.39056591
5	622	21.24097992
5	642	27.88241012
5	662	22.93153749
5	672	11.62941284
5	679	14.04188659
5	693	27.8368325
5	709	20.98631236
5	778	28.69179696
5	784	27.90072995
5	795	9.948898543
5	796	27.8995817
5	798	26.04516011
5	810	12.86280138
5	822	15.7776816
5	854	24.20064323
5	875	14.23360457
5	892	21.78301133
5	907	28.4891373
5	916	11.65682144
5	958	22.22809534
5	959	19.38851678
5	976	28.47054024
6	507	28.36610068
6	517	23.08105851
6	525	28.28229135
6	537	27.55325637
6	542	9.272957839
6	559	12.77706026
6	593	28.01890091
6	594	27.85210252
6	610	12.72863039
6	706	32.52321754
6	714	18.8308182
6	729	10.58614094
6	787	12.2833623
6	796	27.99852276
6	799	9.683219557
6	809	10.280259
6	817	22.55630758
6	863	9.439005848
6	876	25.22153265
6	897	27.90965681
6	918	9.079885224
6	941	15.94191422
6	949	14.20540611
6	961	19.41201649
6	999	10.18447527
7	541	17.98358259
7	574	21.75487162
7	645	15.2731822
7	658	10.29301096
7	674	19.18501504
7	701	17.41647123
7	722	15.42519327
7	724	24.61785499
7	745	21.87703736
7	761	22.65117633
7	820	29.27305625
7	823	16.46139807
7	832	21.73940157
7	886	9.216430757
7	911	10.16107941
7	948	23.98157508
7	952	28.58167587
7	994	14.02951508
8	503	13.91840304
8	523	12.12986941
8	543	27.86885048
8	673	13.42350956
8	727	11.88723346
8	746	12.1538822
8	834	14.69403233
8	864	27.83627875
8	898	21.44173951
8	925	16.7274474
8	989	21.31671443
9	524	21.92849607
9	533	23.08789372
9	536	13.21606762
9	549	28.2477123
9	562	22.61439045
9	582	28.12052037
9	588	9.819221783
9	592	9.770935073
9	604	22.54438197
9	614	18.90965116
9	631	19.94114817
9	632	28.19866408
9	686	27.91484148
9	707	11.18383599
9	751	25.76233042
9	766	16.22692254
9	818	17.58671992
9	835	28.44988351
9	883	21.31464855
9	884	27.85684345
9	912	10.34008997
9	938	27.1439436
9	983	27.80527688
9	995	12.15289761
10	529	27.97130466
10	531	21.24804949
10	572	12.26284177
10	585	21.04985876
10	615	28.30577751
10	620	23.65243935
10	641	17.84357871
10	659	18.69894171
10	671	12.27660073
10	705	29.31470823
