# dg0 (kT)	h (nm)	Total F (kT)	F_att (kT)	F_rep (kT)	avg_num_bonds
-7.55709	5	30.3078	-5.22367	35.5314	4.33549
-7.80959	5	29.1115	-6.41997	35.5314	5.15617
-8.31952	5	26.0027	-9.5287	35.5314	7.09845
-8.577	5	24.0331	-11.4983	35.5314	8.21531
-8.96639	5	20.4809	-15.0506	35.5314	10.0589

-7.55709	10	5.13812	-3.39926	8.53738	2.93283
-7.80959	10	4.32353	-4.21385	8.53738	3.53296
-8.31952	10	2.16364	-6.37374	8.53738	4.99349
-8.577	10	0.768814	-7.76857	8.53738	5.85442
-8.96639	10	-1.78716	-10.3245	8.53738	7.30118

-7.55709	15	-0.0687648	-2.06711	1.99834	1.84901
-7.80959	15	-0.585865	-2.58421	1.99834	2.25755
-8.31952	15	-1.98739	-3.98573	1.99834	3.28568
-8.577	15	-2.91239	-4.91073	1.99834	3.91139
-8.96639	15	-4.64052	-6.63886	1.99834	4.99062

-7.55709	20	-0.505881	-1.11995	0.614071	1.03675
-7.80959	20	-0.797928	-1.412	0.614071	1.28398
-8.31952	20	-1.60882	-2.22289	0.614071	1.93136
-8.577	20	-2.15765	-2.77172	0.614071	2.34147
-8.96639	20	-3.20762	-3.82169	0.614071	3.07407

-7.55709	25	-0.109945	-0.498651	0.388705	0.477219
-7.80959	25	-0.245405	-0.634111	0.388705	0.599996
-8.31952	25	-0.631649	-1.02035	0.388705	0.9366
-8.577	25	-0.90078	-1.28949	0.388705	1.16058
-8.96639	25	-1.43107	-1.81977	0.388705	1.58007

-7.55709	30	0.185109	-0.17474	0.359849	0.171741
-7.80959	30	0.136045	-0.223804	0.359849	0.218704
-8.31952	30	-0.00719136	-0.36704	0.359849	0.353117
-8.577	30	-0.109768	-0.469617	0.359849	0.447049
-8.96639	30	-0.318063	-0.677912	0.359849	0.63229

