# i	j	beta * DeltaG^cnf_ij
0	534	27.60626556
0	552	16.99996866
0	573	21.60473193
0	585	11.97319328
0	620	12.65043714
0	659	12.30568596
0	705	11.23018454
0	752	27.34377172
0	772	33.61734031
0	794	11.11817404
0	816	33.72773779
0	819	27.25752852
0	837	33.35866941
0	899	24.16001405
0	913	33.87717031
0	915	18.78213548
0	928	20.68873664
0	929	13.75450693
0	950	15.13523202
1	527	13.38006546
1	550	19.8947355
1	642	33.95793483
1	665	11.48728607
1	683	34.0513217
1	736	13.94167821
1	749	18.43551758
1	771	15.1990461
1	783	16.7875047
1	812	11.45372884
1	828	38.12265703
1	829	28.77912082
1	842	15.18570809
1	885	33.75371903
1	888	17.84032784
1	909	34.17315625
1	935	20.78881897
1	976	30.76937375
2	504	33.49785212
2	595	13.27353253
2	613	27.71786398
2	648	27.72536103
2	654	11.06671102
2	687	34.82101724
2	690	13.44646972
2	715	32.52317922
2	744	18.16342552
2	786	34.31613891
2	807	22.03383987
2	814	33.99790978
2	839	21.70803934
2	849	31.0121877
3	526	33.36660016
3	531	33.35536069
3	557	12.71078088
3	579	14.81374537
3	590	34.51632727
3	757	13.62417031
3	841	21.3015959
3	850	15.46061182
3	873	33.6240796
3	881	33.51857247
3	966	16.60324243
4	508	10.84458748
4	511	33.69148688
4	576	12.32442822
4	597	21.42669609
4	616	26.26521767
4	697	15.4763221
4	708	17.24858462
4	737	11.99703791
4	778	15.27780387
4	791	12.42443446
4	792	15.97411988
4	822	33.50209665
4	830	34.63004608
4	881	21.27477618
4	895	11.87779189
4	907	15.49281544
4	946	13.56396732
4	985	25.03597963
5	507	33.41815674
5	511	17.7150716
5	564	14.92632569
5	584	12.06656016
5	598	17.1776588
5	622	24.71729926
5	662	26.9757515
5	672	12.76131092
5	679	15.5721999
5	709	24.29935357
5	795	10.8429268
5	798	32.32894585
5	810	14.1928427
5	822	17.64262955
5	854	28.61863086
5	875	15.80259964
5	892	25.58985166
5	916	12.79296599
5	958	26.20742168
5	959	22.071258
6	517	27.14050003
6	542	10.08217191
6	559	14.09391489
6	610	14.03769607
6	675	33.41009385
6	714	21.39837422
6	729	11.56875531
6	787	13.5133851
6	799	10.54210241
6	809	11.21684894
6	817	26.57714282
6	863	10.26718153
6	876	30.75446718
6	918	9.859132875
6	941	17.84235878
6	949	15.76877618
6	961	22.10045407
6	999	11.10637975
7	541	20.35532751
7	574	25.54669449
7	645	17.03785251
7	658	11.23122514
7	674	21.8215202
7	701	19.64991489
7	712	36.6011933
7	722	17.21897237
7	724	29.42190234
7	734	33.36367849
7	745	25.73108901
7	761	26.67656158
7	790	33.35898724
7	823	18.47838526
7	832	25.52281066
7	886	10.01699099
7	911	11.07958727
7	948	28.27502911
7	994	15.55730078
8	503	15.42349857
8	523	13.3349184
8	673	14.83551755
8	727	13.05725408
8	746	13.36262991
8	811	33.95221319
8	834	16.351478
8	898	25.04712809
8	925	18.80466535
8	981	33.43661206
8	989	24.84200754
9	524	25.80622965
9	533	27.14813419
9	536	14.59630809
9	549	34.13563704
9	562	26.63805181
9	582	34.47557042
9	588	10.69657478
9	592	10.64233035
9	604	26.56457233
9	614	21.49175297
9	631	22.77888831
9	694	33.36189665
9	707	12.24688993
9	751	31.70986109
9	766	18.19106544
9	770	34.55540521
9	818	19.85883844
9	883	24.83860802
9	912	11.28358668
9	995	13.36149215
10	529	35.72697579
10	531	24.728944
10	572	13.48935667
10	585	24.40317229
10	620	27.82177129
10	641	20.17870181
10	659	21.24153689
10	671	13.50546272
10	711	33.99735151
10	733	26.19881143
10	755	12.69382998
10	868	33.52221838
10	915	24.2211929
10	920	18.08829725
10	950	33.3582828
10	968	26.08655134
10	987	14.83938353
10	990	32.29791377
11	503	22.99111952
11	523	18.63550872
11	589	33.44408272
11	673	12.00102088
11	727	18.6824256
11	746	15.43399901
11	789	20.94562675
11	834	14.05680817
11	864	26.54482869
11	898	33.79908994
11	925	31.626244
11	981	23.54889924
11	989	21.66772484
12	589	14.89151561
12	673	11.96012695
12	746	26.98171958
12	789	10.80704291
12	834	19.67294525
12	864	17.20336358
12	975	25.04305633
12	981	17.21307752
13	553	25.71386866
13	558	11.94073332
13	560	26.48804067
13	605	16.43059121
13	657	25.72511227
13	703	33.44862763
13	803	22.06731069
13	984	20.06521136
14	542	28.19157831
14	594	11.25350257
14	596	21.47439164
14	610	13.72739129
14	629	12.53359136
14	675	11.76167755
14	714	19.22628826
14	788	24.0432347
14	799	33.5998961
14	809	18.30299284
14	815	21.19254097
14	846	18.6586623
14	863	22.49149237
14	949	23.12932084
15	501	15.70536691
15	534	23.09342291
15	573	20.97509728
15	618	33.3807772
15	639	12.98222474
15	656	33.95272609
15	666	26.61822414
15	699	25.95404631
15	739	33.77320398
15	752	33.8659574
15	764	15.08375378
15	767	22.63452523
15	785	22.55568619
15	800	15.94424686
15	819	17.5950556
15	837	15.77001389
15	845	17.3447945
15	901	18.79409063
15	913	22.22992022
15	923	13.0182348
16	513	33.88979405
16	514	26.37000095
16	528	34.64513973
16	534	27.43654321
16	563	33.38187897
16	583	13.49541988
16	615	14.31448756
16	647	22.74082165
16	656	32.03270412
16	668	22.5583932
16	669	23.55434028
16	752	16.71759922
16	816	14.41224224
16	837	34.61977384
16	915	26.98970424
17	502	33.52314569
17	543	34.04683317
17	589	11.82981469
17	673	17.3326228
17	774	19.86612846
17	789	10.25424321
17	797	22.39769293
17	834	21.35817225
17	840	33.85453483
17	864	12.89347781
17	904	31.30140366
17	975	15.72558974
17	981	13.50007005
18	544	16.41760631
18	710	22.6756297
18	725	35.26926945
18	782	23.11295111
18	847	21.44674964
18	858	17.80136556
18	890	19.00229349
18	896	23.19489435
18	905	20.25208062
18	910	33.83141911
18	951	22.38620272
18	960	11.13302796
18	962	15.89285346
18	974	10.87992543
18	982	11.99162202
19	525	17.8269698
19	555	33.4892791
19	634	18.97847905
19	646	27.77888282
19	677	10.6360908
19	682	33.07801956
19	689	15.26068374
19	706	33.53868606
19	729	36.19639882
19	743	10.11174223
19	787	34.47492401
19	799	33.41447306
19	817	21.89926861
19	876	20.88460145
19	878	23.53000218
19	961	13.46009769
19	998	35.06407273
20	521	33.88488193
20	522	14.41510641
20	552	11.99982767
20	573	23.3127643
20	619	12.20992306
20	684	19.00807358
20	699	33.7645442
20	723	16.36720642
20	741	25.5848998
20	753	30.78252464
20	767	15.71739519
20	772	9.765648906
20	794	20.44800382
20	800	33.39959356
20	805	26.37160773
20	819	33.64594194
20	845	18.08392976
20	860	12.95811443
20	861	14.82210883
20	899	10.10167423
20	913	14.48973514
20	917	11.95912124
20	928	29.80452728
20	929	17.090646
20	950	35.09465004
20	956	20.20384477
20	997	19.77052603
21	535	19.50627951
21	540	31.09100818
21	558	14.24610205
21	560	11.15271681
21	605	31.69407487
21	720	20.7536888
21	774	22.9107236
21	803	12.75388362
21	840	21.50280955
21	906	26.21633265
21	979	19.56223482
21	986	13.57190581
22	581	31.07049537
22	602	33.54557229
22	604	13.54024438
22	664	16.01862043
22	686	14.65961704
22	691	16.38516295
22	747	33.52078118
22	766	33.35519086
22	770	29.56405106
22	775	22.87952981
22	827	18.19320106
22	831	10.5217393
22	865	10.76448661
22	883	34.27964333
22	884	10.75385148
22	887	16.4455224
22	912	33.40184287
22	980	13.57727227
22	983	17.86699569
23	526	12.97103834
23	579	11.6903779
23	627	14.10145207
23	698	19.33356797
23	756	12.67911429
23	850	29.75949423
23	873	25.34764819
23	927	30.64311124
24	509	14.97513029
24	518	24.75105731
24	547	32.30382698
24	595	19.89961099
24	600	21.98375198
24	613	17.927179
24	621	19.28259495
24	633	34.32190967
24	649	21.50017594
24	652	19.60596164
24	690	29.96289445
24	744	11.90475116
24	750	14.51357832
24	758	24.18786269
24	781	18.41465077
24	786	10.35776703
24	838	25.83499665
24	839	30.5289746
24	944	24.71990761
25	513	10.87032312
25	514	12.06808152
25	529	33.9298804
25	563	18.36061215
25	647	24.06688134
25	730	19.31866863
25	740	26.57299188
25	763	24.85696804
25	802	33.6365998
25	806	16.08414935
25	843	24.59707251
25	851	10.03282671
25	942	26.16197472
26	525	13.62954845
26	555	9.985621438
26	593	16.0254355
26	606	21.06970894
26	646	12.8017199
26	677	19.51530879
26	689	13.2367782
26	718	10.50878655
26	769	18.17451092
26	888	31.18406224
26	914	16.90247001
26	922	14.30871583
26	935	34.05503683
26	943	34.14363342
26	961	33.38560076
27	504	28.19713629
27	509	25.77579569
27	547	36.0010033
27	613	16.98533627
27	633	26.70044327
27	645	12.30141285
27	649	15.39245558
27	652	11.34139008
27	653	23.33503917
27	658	33.3559772
27	674	14.02578963
27	712	15.85285267
27	744	26.9898572
27	745	11.85059603
27	750	13.9806505
27	761	20.71312578
27	786	24.65773224
27	790	17.464838
27	823	28.7258516
27	838	10.91337391
27	839	31.01801218
27	886	26.93221156
27	971	28.47429337
27	994	13.30879288
28	534	33.66836195
28	585	10.35102405
28	615	17.80071854
28	620	16.85509461
28	647	33.37537562
28	659	11.59918513
28	705	13.08608129
28	752	28.11346053
28	755	33.51397355
28	794	23.90353002
28	816	33.51494727
28	915	10.18364197
28	950	24.93064872
29	522	24.86975039
29	534	22.87970848
29	552	10.27572042
29	573	13.09866068
29	585	25.78371784
29	619	28.99890493
29	620	23.40579021
29	659	27.06834216
29	705	17.00455434
29	752	32.30351428
29	767	21.07224411
29	772	16.6464728
29	794	12.05109762
29	819	17.42423042
29	837	24.47565516
29	845	18.50838033
29	899	12.61997627
29	913	15.77814595
29	917	29.09986346
29	928	25.01750646
29	929	12.93487886
29	950	24.29883015
29	997	33.38020973
30	503	17.07716597
30	505	26.19328051
30	523	21.07428674
30	526	19.9039826
30	627	21.89426763
30	650	22.97830727
30	698	31.06285171
30	702	26.47465433
30	727	20.75067275
30	746	33.54171592
30	756	33.61482235
30	811	14.27881174
30	894	15.61843917
30	924	34.42869963
30	925	14.99218321
30	927	15.25850766
30	957	24.79316038
30	967	18.90163229
30	996	10.51911748
31	502	30.87841684
31	558	20.35506108
31	560	14.35304801
31	589	34.55039362
31	605	22.25561896
31	862	22.92354428
31	906	9.947506458
31	978	19.14151767
31	986	15.62921431
32	533	22.80240703
32	562	33.35890267
32	570	20.69531301
32	582	16.25681671
32	591	11.02130442
32	607	13.53353557
32	614	27.9806118
32	651	9.772109864
32	694	33.52032482
32	703	25.74177801
32	738	21.68932936
32	754	19.16963107
32	871	24.58547533
32	933	33.36779347
33	501	32.55321106
33	522	33.40126473
33	534	12.76223068
33	552	33.39927073
33	573	13.62077126
33	639	20.18696783
33	656	26.40777867
33	705	33.35984516
33	752	18.74305926
33	764	26.78500609
33	767	24.38515502
33	785	26.40675379
33	800	24.40649849
33	816	20.17081001
33	819	11.21915296
33	837	10.31787784
33	845	17.07534974
33	901	33.35519373
33	913	20.31735908
33	923	23.8060893
34	503	9.766017073
34	523	9.803444106
34	673	27.57474327
34	727	9.749641801
34	746	13.26454018
34	811	17.44536974
34	834	33.47797053
34	894	33.1267074
34	898	25.840512
34	925	10.99825113
34	996	14.12700428
35	544	21.04867583
35	554	22.22014554
35	617	33.46978358
35	725	23.06768923
35	731	35.06466989
35	782	11.63948551
35	847	13.35779474
35	890	10.07079825
35	905	33.35562523
35	934	34.56766328
35	939	18.00540382
35	951	22.39672402
35	960	14.50762694
35	974	19.16909811
35	982	22.40159567
36	528	24.1170589
36	586	14.30582785
36	618	22.18116593
36	631	13.33594837
36	639	29.06505057
36	656	18.50179765
36	666	20.44953091
36	668	33.11202323
36	669	26.34340879
36	785	13.0189681
36	818	13.07436624
36	883	15.89646036
36	900	15.53218132
36	912	33.81326378
36	938	11.07473116
36	947	35.10241612
37	541	14.82404831
37	574	33.38528503
37	611	31.0230332
37	645	24.55089105
37	658	10.45203962
37	674	26.82088789
37	701	13.82750663
37	722	13.8165181
37	820	27.49009416
37	823	16.94162476
37	886	12.1133739
37	911	9.822997336
37	948	21.85750055
37	963	32.67779074
37	994	21.58119177
38	516	10.43102805
38	556	20.92308932
38	602	13.22390648
38	608	11.33222848
38	609	9.86337079
38	628	15.90486058
38	691	27.82563173
38	739	34.29056493
38	747	14.33836936
38	775	18.78400397
38	856	18.12996802
38	859	33.54364029
38	866	19.197086
38	887	27.95680006
38	930	12.49277636
38	947	25.65928997
38	980	33.88622118
38	991	11.5355309
39	531	25.01323358
39	572	13.92102989
39	585	20.9480463
39	620	20.16504279
39	641	21.0124337
39	659	17.4877888
39	671	16.39412709
39	711	26.40939215
39	733	30.23426771
39	755	11.15442369
39	855	39.31536711
39	915	24.689486
39	920	25.87682442
39	950	25.5558936
39	968	35.32386586
39	987	20.28095484
40	556	13.32178464
40	569	14.05673
40	580	20.89489082
40	637	26.97967973
40	732	16.78472293
40	735	9.766937081
40	813	33.17197244
40	833	33.35521377
40	866	26.80536557
40	877	16.66657128
40	891	33.40889288
40	908	23.27920521
40	930	23.1111115
40	932	18.80858539
40	973	17.27717382
41	556	33.52837243
41	569	33.35826709
41	660	11.36772678
41	710	20.9029014
41	739	16.10668456
41	866	13.98024511
41	891	12.89065266
41	901	27.28906984
41	902	14.18455317
41	908	32.58507327
41	910	12.64517092
41	923	33.8284065
41	930	31.56315754
41	932	21.84032475
41	955	13.82993402
41	991	21.63682217
42	574	19.48374748
42	587	29.79123715
42	590	33.92441258
42	638	27.65319286
42	658	17.31829401
42	701	27.93060165
42	722	30.35029505
42	724	15.73898432
42	734	18.73127276
42	823	33.80113759
42	832	29.03353888
42	886	17.26241086
42	911	11.78827529
42	921	33.46689494
42	994	33.84074372
43	549	19.69450604
43	578	16.37706841
43	606	13.58318972
43	632	17.2301089
43	646	18.8855171
43	681	18.45230161
43	688	10.85824795
43	695	11.92630225
43	751	26.12615755
43	763	27.56181957
43	808	13.58543142
43	835	24.83414513
43	942	28.24621317
43	943	9.690708341
43	954	15.45021738
44	532	22.97901257
44	567	9.972785278
44	569	28.12027703
44	575	13.5186204
44	643	19.50598059
44	696	15.80910936
44	710	33.93458111
44	776	11.54592542
44	813	20.0341127
44	833	10.54804909
44	870	35.38623792
44	872	10.93589997
44	893	21.5621987
44	908	23.22499648
44	932	33.44408343
44	951	19.12507447
44	960	34.65871421
44	962	25.494842
44	974	37.10666975
45	507	22.04663126
45	537	23.83378185
45	584	24.52193204
45	642	10.36160647
45	665	33.59910945
45	679	12.69164218
45	692	15.25769206
45	709	9.918765328
45	780	14.29816117
45	783	21.88848402
45	795	27.29366667
45	796	18.22351465
45	812	24.9108565
45	842	16.065401
45	885	12.19304097
45	888	23.17671076
45	914	35.27830727
45	916	14.05011138
45	922	34.15973599
45	935	19.3276298
45	959	10.50222463
45	976	18.32755752
46	507	21.0364095
46	525	22.22033153
46	537	13.71488718
46	555	34.25965364
46	559	32.4795673
46	593	12.94760468
46	642	16.4599828
46	692	10.6787026
46	709	29.7078549
46	718	27.43026484
46	729	23.4066604
46	780	11.18773292
46	787	18.4115788
46	796	15.14107597
46	812	34.7025693
46	842	27.1232107
46	885	13.27414711
46	888	21.74093687
46	914	13.56955165
46	922	15.23433759
46	935	17.88944115
46	941	14.80599899
46	959	23.36705688
46	999	24.54850772
47	511	33.71976613
47	515	33.99108862
47	564	24.76778471
47	584	9.797299696
47	598	20.96459454
