# dg0 (kT)	h (nm)	Total F (kT)	F_att (kT)	F_rep (kT)	avg_num_bonds
-10	15	-22.1407	-24.9507	2.81006	14.5461
-10	20	-15.4931	-16.2484	0.755268	10.2751
-10	25	-8.52069	-8.96875	0.448064	6.3517
-10	30	-3.48153	-3.86784	0.386312	3.1264

-9	5	25.0024	-26.6933	51.6957	16.7017
-9	10	-6.7671	-19.0964	12.3293	12.6232
-9	15	-10.3501	-13.1601	2.81006	9.18647
-9	20	-7.38891	-8.14417	0.755268	6.10159
-9	25	-3.72538	-4.17345	0.448064	3.42011
-9	30	-1.25775	-1.64406	0.386312	1.47583

-8	5	38.2209	-13.4748	51.6957	9.99679
-8	10	3.03272	-9.29661	12.3293	7.23216
-8	15	-3.36739	-6.17744	2.81006	5.01893
-8	20	-2.889	-3.64426	0.755268	3.11691
-8	25	-1.30791	-1.75597	0.448064	1.59171
-8	30	-0.263267	-0.64958	0.386312	0.619744

-7	5	45.624	-6.07166	51.6957	5.15473
-7	10	8.27706	-4.05227	12.3293	3.55814
-7	15	0.197315	-2.61274	2.81006	2.35912
-7	20	-0.732542	-1.48781	0.755268	1.38419
-7	25	-0.240916	-0.68898	0.448064	0.660905
-7	30	0.140176	-0.246136	0.386312	0.242055

-6	5	49.2039	-2.49175	51.6957	2.3082
-6	10	10.7049	-1.62443	12.3293	1.53365
-6	15	1.78254	-1.02751	2.81006	0.984252
-6	20	0.181881	-0.573387	0.755268	0.557279
-6	25	0.187987	-0.260078	0.448064	0.256464
-6	30	0.295039	-0.0912731	0.386312	0.0912361

-5	5	50.7326	-0.963123	51.6957	0.934124
-5	10	11.7096	-0.619775	12.3293	0.606698
-5	15	2.42187	-0.388187	2.81006	0.382626
-5	20	0.540802	-0.214466	0.755268	0.21291
-5	25	0.35183	-0.0962345	0.448064	0.0963814
-5	30	0.35298	-0.0333328	0.386312	0.0338776

-4	5	51.3349	-0.36076	51.6957	0.357769
-4	10	12.0987	-0.230592	12.3293	0.2299
-4	15	2.66639	-0.143667	2.81006	0.143884
-4	20	0.676376	-0.0788924	0.755268	0.0794851
-4	25	0.413002	-0.0350626	0.448064	0.0357457
-4	30	0.374432	-0.0118809	0.386312	0.0125063

-3	5	51.5628	-0.13283	51.6957	0.133702
-3	10	12.2449	-0.0844422	12.3293	0.085542
-3	15	2.75772	-0.0523361	2.81006	0.0533749
-3	20	0.726759	-0.0285093	0.755268	0.029403
-3	25	0.435631	-0.0124329	0.448064	0.0131899
-3	30	0.382342	-0.0039703	0.386312	0.00460674

-2	5	51.6476	-0.0480643	51.6957	0.0494781
-2	10	12.2991	-0.0302544	12.3293	0.0316032
-2	15	2.79151	-0.0185444	2.81006	0.0196966
-2	20	0.745364	-0.00990402	0.755268	0.010839
-2	25	0.443974	-0.00409062	0.448064	0.00485772
-2	30	0.385255	-0.00105759	0.386312	0.00169553

-1	5	51.6789	-0.0167538	51.6957	0.018242
-1	10	12.3191	-0.0102617	12.3293	0.0116445
-1	15	2.80397	-0.00608664	2.81006	0.00725427
-1	20	0.752219	-0.00304989	0.755268	0.00399045
-1	25	0.447045	-0.00101932	0.448064	0.00178779
-1	30	0.386257	-5.53713e-05	0.386312	0.000623859

0	5	51.6905	-0.005218	51.6957	0.00671631
0	10	12.3264	-0.00289886	12.3293	0.00428624
0	15	2.80856	-0.00150011	2.81006	0.00266982
0	20	0.754741	-0.000527089	0.755268	0.00146841
0	25	0.44805	-1.38225e-05	0.448064	0.000657792
0	30	0.386312	0	0.386312	0.00022952

