# dg0 (kT)	h (nm)	Total F (kT)	F_att (kT)	F_rep (kT)	avg_num_bonds
-30	5	-1525.37	-1570.27	44.8916	108.556
-29	5	-1417.87	-1462.76	44.8916	106.453
-28	5	-1312.49	-1357.38	44.8916	104.297
-27	5	-1209.3	-1254.19	44.8916	102.054
-26	5	-1108.43	-1153.32	44.8916	99.6636
-25	5	-1010.04	-1054.93	44.8916	97.0801
-24	5	-914.331	-959.223	44.8916	94.3027
-23	5	-821.502	-866.393	44.8916	91.3181
-22	5	-731.778	-776.669	44.8916	88.0882
-21	5	-645.401	-690.293	44.8916	84.6328
-20	5	-562.562	-607.453	44.8916	81.0266
-19	5	-483.389	-528.281	44.8916	77.2937
-18	5	-408.043	-452.934	44.8916	73.3534
-17	5	-336.794	-381.685	44.8916	69.0797
-16	5	-270.031	-314.922	44.8916	64.3646
-15	5	-208.251	-253.142	44.8916	59.0892
-14	5	-152.09	-196.982	44.8916	53.1027
-13	5	-102.312	-147.204	44.8916	46.321
-12	5	-59.6905	-104.582	44.8916	38.819
-11	5	-24.8284	-69.72	44.8916	30.8586
-10	5	2.00588	-42.8857	44.8916	22.8402
-9	5	21.013	-23.8786	44.8916	15.3122
-8	5	33.0359	-11.8557	44.8916	8.99967
-7	5	39.6373	-5.25428	44.8916	4.54058
-6	5	42.7623	-2.12926	44.8916	1.9933
-5	5	44.0745	-0.817107	44.8916	0.796532
-4	5	44.5866	-0.305008	44.8916	0.303206
-3	5	44.7795	-0.112082	44.8916	0.113024
-2	5	44.8511	-0.0404609	44.8916	0.041785
-1	5	44.8776	-0.0140236	44.8916	0.0154
0	5	44.8873	-0.00428566	44.8916	0.00566917

-30	10	-1380.79	-1391.45	10.6597	98.9233
-29	10	-1282.85	-1293.51	10.6597	96.9496
-28	10	-1186.93	-1197.59	10.6597	94.8549
-27	10	-1093.19	-1103.85	10.6597	92.6003
-26	10	-1001.79	-1012.45	10.6597	90.1633
-25	10	-912.921	-923.581	10.6597	87.5563
-24	10	-826.722	-837.382	10.6597	84.8278
-23	10	-743.287	-753.947	10.6597	82.0336
-22	10	-662.676	-673.336	10.6597	79.1747
