# i	j	beta * DeltaG^cnf_ij
0	534	24.60282819
0	552	15.55438571
0	573	19.75602006
0	585	10.89015307
0	620	11.52638514
0	659	11.19607529
0	705	10.19696824
0	711	26.95684167
0	752	24.5012027
0	794	10.09256945
0	819	24.4668336
0	899	22.01767818
0	915	17.18835401
0	928	18.91642476
0	929	12.55995511
0	950	13.8419027
1	527	12.20719853
1	550	18.18944197
1	665	10.43816929
1	721	27.45538926
1	736	12.73549057
1	749	16.87123628
1	760	27.07030324
1	769	26.73824002
1	771	13.90076409
1	783	15.35987349
1	812	10.40800211
1	829	25.01027862
1	842	13.88846196
1	888	16.32321381
1	935	19.00870168
1	976	25.677457
2	595	12.10762995
2	613	24.64472696
2	648	24.64751471
2	654	10.04414978
2	687	26.59275774
2	690	12.2695622
2	715	26.31008007
2	744	16.62023999
2	807	20.11786678
2	839	19.84602433
2	849	25.78519931
3	548	27.86159194
3	557	11.58439985
3	579	13.54523346
3	757	12.43709354
3	841	19.48226966
3	850	14.14189571
3	966	15.19110157
4	508	9.828127426
4	576	11.21359401
4	597	19.59654553
4	616	23.95830531
4	697	14.15637147
4	708	15.78202657
4	737	10.91204602
4	778	13.97339381
4	784	28.55417209
4	791	11.3082793
4	792	14.61417613
4	881	19.45762635
4	895	10.80228108
4	907	14.17156783
4	946	12.38027894
4	985	22.87329284
5	511	16.20857845
5	564	13.64916323
5	584	10.9758052
5	598	15.71708086
5	622	22.56500295
5	662	24.35099977
5	672	11.63252373
5	679	14.24469454
5	709	22.15520905
5	795	9.826585782
5	798	26.26033913
5	810	12.96980243
5	822	16.14238506
5	854	24.95821962
5	875	14.45669456
5	892	23.39258492
5	916	11.66244327
5	958	23.9151657
5	959	20.14810561
5	976	27.38380219
6	517	24.4193929
6	537	27.0861515
6	542	9.112813079
6	559	12.87764134
6	610	12.82519647
6	714	19.57079208
6	729	10.51178998
6	787	12.3325739
6	799	9.537515367
6	809	10.18430642
6	817	24.16292371
6	863	9.282416097
6	876	25.67108012
6	918	8.902319256
6	941	16.32507491
6	949	14.42560509
6	961	20.17159125
6	999	10.08158755
7	541	18.61025401
7	574	23.35325468
7	645	15.58906981
7	658	10.19796008
7	674	19.94265828
7	701	17.96702262
7	722	15.7549113
7	724	25.2122408
