# dg0 (kT)	h (nm)	Total F (kT)	F_att (kT)	F_rep (kT)	avg_num_bonds
-30	5	-1677.04	-1733.17	56.1348	113.597
-30	10	-1539.53	-1553.04	13.507	106.179
-30	15	-1361.66	-1364.74	3.08084	98.9021
-30	20	-1172.57	-1173.43	0.859556	89.0597
-30	25	-982.214	-982.67	0.456267	79.7742
-30	30	-790.743	-791.099	0.356025	70.3188

-29	5	-1564.35	-1620.48	56.1348	111.789
-29	10	-1434.01	-1447.52	13.507	104.834
-29	15	-1263.67	-1266.75	3.08084	97.0282
-29	20	-1084.36	-1085.22	0.859556	87.3421
-29	25	-903.309	-903.766	0.456267	78.029
-29	30	-721.604	-721.96	0.356025	67.9137

-28	5	-1453.43	-1509.57	56.1348	110.053
-28	10	-1329.92	-1343.43	13.507	103.312
-28	15	-1167.68	-1170.76	3.08084	94.9162
-28	20	-997.955	-998.815	0.859556	85.4315
-28	25	-826.183	-826.639	0.456267	76.2025
-28	30	-654.991	-655.347	0.356025	65.2828

-27	5	-1344.22	-1400.35	56.1348	108.385
-27	10	-1227.46	-1240.96	13.507	101.575
-27	15	-1073.91	-1076.99	3.08084	92.5859
-27	20	-913.589	-914.449	0.859556	83.2591
-27	25	-750.97	-751.426	0.456267	74.1797
-27	30	-591.078	-591.434	0.356025	62.5313

-26	5	-1236.67	-1292.8	56.1348	106.705
-26	10	-1126.86	-1140.37	13.507	99.557
-26	15	-982.559	-985.64	3.08084	90.101
-26	20	-831.501	-832.36	0.859556	80.898
-26	25	-677.934	-678.39	0.456267	71.8272
-26	30	-529.947	-530.303	0.356025	59.7203

-25	5	-1130.85	-1186.99	56.1348	104.89
-25	10	-1028.46	-1041.96	13.507	97.2005
-25	15	-893.725	-896.806	3.08084	87.5614
-25	20	-751.816	-752.675	0.859556	78.4657
-25	25	-607.457	-607.913	0.456267	69.0523
-25	30	-471.667	-472.023	0.356025	56.8181

-24	5	-1026.98	-1083.11	56.1348	102.81
-24	10	-932.581	-946.088	13.507	94.4928
-24	15	-807.454	-810.534	3.08084	84.9648
-24	20	-674.587	-675.447	0.859556	75.9735
-24	25	-539.972	-540.428	0.456267	65.8535
-24	30	-416.368	-416.724	0.356025	53.7486

-23	5	-925.352	-981.487	56.1348	100.373
-23	10	-839.572	-853.079	13.507	91.482
-23	15	-723.852	-726.932	3.08084	82.2041
-23	20	-599.933	-600.793	0.859556	73.2852
-23	25	-475.856	-476.312	0.456267	62.3395
-23	30	-364.229	-364.585	0.356025	50.5047

-22	5	-826.369	-882.504	56.1348	97.5202
-22	10	-749.688	-763.195	13.507	88.2581
-22	15	-643.117	-646.198	3.08084	79.2327
-22	20	-528.151	-529.011	0.859556	70.1962
-22	25	-415.349	-415.805	0.456267	58.6522
-22	30	-315.389	-315.745	0.356025	47.1684

-21	5	-730.459	-786.594	56.1348	94.2288
-21	10	-663.095	-676.602	13.507	84.9132
-21	15	-565.444	-568.525	3.08084	76.0837
-21	20	-459.724	-460.584	0.859556	66.5641
-21	25	-358.594	-359.05	0.456267	54.8337
-21	30	-269.9	-270.256	0.356025	43.8059

-20	5	-638.042	-694.177	56.1348	90.5467
-20	10	-579.903	-593.41	13.507	81.4427
-20	15	-491.028	-494.109	3.08084	72.6929
-20	20	-395.197	-396.057	0.859556	62.4148
-20	25	-305.737	-306.193	0.456267	50.8521
-20	30	-227.784	-228.14	0.356025	40.4217

-19	5	-549.464	-605.598	56.1348	86.5697
-19	10	-500.282	-513.789	13.507	77.7541
-19	15	-420.212	-423.293	3.08084	68.8412
-19	20	-335.012	-335.872	0.859556	57.9101
-19	25	-256.936	-257.392	0.456267	46.7343
-19	30	-189.069	-189.425	0.356025	37.0041

-18	5	-464.974	-521.109	56.1348	82.3745
-18	10	-424.497	-438.004	13.507	73.7539
-18	15	-353.566	-356.647	3.08084	64.3374
-18	20	-279.451	-280.311	0.859556	53.178
-18	25	-212.286	-212.742	0.456267	42.5623
-18	30	-153.776	-154.132	0.356025	33.5865

-17	5	-384.798	-440.933	56.1348	77.9237
-17	10	-352.934	-366.441	13.507	69.2724
-17	15	-291.752	-294.832	3.08084	59.1975
-17	20	-228.721	-229.58	0.859556	48.2548
-17	25	-171.813	-172.269	0.456267	38.3837
-17	30	-121.882	-122.238	0.356025	30.2056

-16	5	-309.269	-365.404	56.1348	73.0445
-16	10	-286.2	-299.707	13.507	64.0559
-16	15	-235.325	-238.406	3.08084	53.5927
-16	20	-182.986	-183.845	0.859556	43.2005
-16	25	-135.519	-135.975	0.456267	34.2052
-16	30	-93.3784	-93.7344	0.356025	26.7792

-15	5	-238.938	-295.072	56.1348	67.4783
-15	10	-225.106	-238.613	13.507	57.997
-15	15	-184.671	-187.752	3.08084	47.6714
-15	20	-142.336	-143.196	0.859556	38.0942
-15	25	-103.405	-103.861	0.456267	30.017
-15	30	-68.4054	-68.7614	0.356025	23.1098

-14	5	-174.635	-230.77	56.1348	60.9509
-14	10	-170.44	-183.947	13.507	51.2377
-14	15	-140.055	-143.136	3.08084	41.5312
-14	20	-106.808	-107.667	0.859556	32.9561
-14	25	-75.513	-75.9692	0.456267	25.7399
-14	30	-47.2878	-47.6438	0.356025	19.0618

-13	5	-117.383	-173.518	56.1348	53.391
-13	10	-122.79	-136.297	13.507	43.9956
-13	15	-101.654	-104.735	3.08084	35.2525
-13	20	-76.4444	-77.3039	0.859556	27.7549
-13	25	-52.0097	-52.466	0.456267	21.2136
-13	30	-30.3785	-30.7346	0.356025	14.732

-12	5	-68.1296	-124.264	56.1348	45.0033
-12	10	-82.5555	-96.0625	13.507	36.4324
-12	15	-69.5819	-72.6627	3.08084	28.8783
-12	20	-51.3437	-52.2032	0.859556	22.4165
-12	25	-33.1863	-33.6425	0.456267	16.3977
-12	30	-17.8082	-18.1642	0.356025	10.4515

-11	5	-27.5537	-83.6885	56.1348	36.0873
-11	10	-49.9804	-63.4874	13.507	28.7073
-11	15	-43.9194	-47.0002	3.08084	22.4418
-11	20	-31.6689	-32.5285	0.859556	16.9167
-11	25	-19.2209	-19.6772	0.456267	11.5707
-11	30	-9.31887	-9.6749	0.356025	6.63983

-10	5	3.99346	-52.1414	56.1348	27.0244
-10	10	-25.115	-38.622	13.507	21.0661
-10	15	-24.6773	-27.7582	3.08084	16.0791
-10	20	-17.475	-18.3345	0.859556	11.5357
-10	25	-9.87536	-10.3316	0.456267	7.25154
-10	30	-4.24335	-4.59937	0.356025	3.67777

-9	5	26.6424	-29.4925	56.1348	18.4108
-9	10	-7.6783	-21.1853	13.507	13.9447
-9	15	-11.5938	-14.6746	3.08084	10.2304
