# dg0 (kT)	h (nm)	Total F (kT)	F_att (kT)	F_rep (kT)	avg_num_bonds
-7.55709	5	50.4235	-11.1306	61.5541	8.76822
-7.80959	5	48.0193	-13.5348	61.5541	10.3023
-8.31952	5	41.8809	-19.6732	61.5541	13.8747
-8.577	5	38.0509	-23.5032	61.5541	15.8983
-8.96639	5	31.2273	-30.3268	61.5541	19.1913

-7.55709	10	7.14282	-7.33104	14.4739	6.00064
-7.80959	10	5.48811	-8.98575	14.4739	7.1291
-8.31952	10	1.18796	-13.2859	14.4739	9.83054
-8.577	10	-1.5431	-16.017	14.4739	11.4066
-8.96639	10	-6.48859	-20.9625	14.4739	14.0429

-7.55709	15	-1.30792	-4.74811	3.44019	3.99068
-7.80959	15	-2.41264	-5.85283	3.44019	4.77697
-8.31952	15	-5.31732	-8.75751	3.44019	6.68865
-8.577	15	-7.183	-10.6232	3.44019	7.82234
-8.96639	15	-10.5962	-14.0364	3.44019	9.7509

-7.55709	20	-1.9935	-2.90826	0.914756	2.51235
-7.80959	20	-2.69208	-3.60684	0.914756	3.03347
-8.31952	20	-4.55376	-5.46852	0.914756	4.3221
-8.577	20	-5.76462	-6.67937	0.914756	5.0976
-8.96639	20	-8.003	-8.91776	0.914756	6.43132

-7.55709	25	-1.10035	-1.5373	0.436942	1.38343
-7.80959	25	-1.48788	-1.92483	0.436942	1.69471
-8.31952	25	-2.54497	-2.98191	0.436942	2.49018
-8.577	25	-3.2483	-3.68525	0.436942	2.98379
-8.96639	25	-4.5747	-5.01164	0.436942	3.8539

-7.55709	30	-0.295	-0.644088	0.349088	0.60838
-7.80959	30	-0.467153	-0.816241	0.349088	0.760207
-8.31952	30	-0.952737	-1.30182	0.349088	1.16901
-8.577	30	-1.28716	-1.63625	0.349088	1.43606
-8.96639	30	-1.93857	-2.28766	0.349088	1.92814

