# dg0 (kT)	h (nm)	Total F (kT)	F_att (kT)	F_rep (kT)	avg_num_bonds
-10	20	-19.8126	-20.6768	0.864191	12.9218
-10	25	-11.2078	-11.6718	0.463938	8.10083
-10	30	-4.78254	-5.22874	0.446196	4.13519

-9	5	32.6826	-32.7942	65.4769	20.1942
-9	10	-8.09708	-23.7339	15.6368	15.5553
-9	15	-13.0359	-16.5782	3.5423	11.5105
-9	20	-9.57696	-10.4411	0.864191	7.74633
-9	25	-5.04245	-5.50638	0.463938	4.4433
-9	30	-1.80738	-2.25357	0.446196	2.00018

-8	5	48.7846	-16.6923	65.4769	12.2743
-8	10	4.03876	-11.598	15.6368	8.99827
-8	15	-4.26024	-7.80254	3.5423	6.32592
-8	20	-3.83902	-4.70321	0.864191	3.99583
-8	25	-1.87668	-2.34061	0.463938	2.10368
-8	30	-0.450392	-0.896588	0.446196	0.851569

-7	5	57.9187	-7.55819	65.4769	6.39163
-7	10	10.5768	-5.05999	15.6368	4.4429
-7	15	0.238775	-3.30352	3.5423	2.98114
-7	20	-1.06445	-1.92864	0.864191	1.78822
-7	25	-0.459408	-0.923346	0.463938	0.882522
-7	30	0.105554	-0.340642	0.446196	0.334493

-6	5	62.3683	-3.10861	65.4769	2.87563
-6	10	13.6091	-2.02772	15.6368	1.91537
-6	15	2.2428	-1.2995	3.5423	1.24469
-6	20	0.119297	-0.744894	0.864191	0.722952
-6	25	0.114614	-0.349324	0.463938	0.344024
-6	30	0.319779	-0.126417	0.446196	0.126338

-5	5	64.2744	-1.20249	65.4769	1.16578
-5	10	14.8635	-0.773329	15.6368	0.757244
-5	15	3.05134	-0.490958	3.5423	0.483907
-5	20	0.58533	-0.278861	0.864191	0.276692
-5	25	0.334589	-0.129349	0.463938	0.129515
-5	30	0.400041	-0.0461546	0.446196	0.0469463

-4	5	65.0263	-0.45053	65.4769	0.446737
-4	10	15.3491	-0.287672	15.6368	0.286825
-4	15	3.36058	-0.181719	3.5423	0.181964
-4	20	0.761578	-0.102614	0.864191	0.103367
-4	25	0.416818	-0.0471204	0.463938	0.0480656
-4	30	0.429773	-0.0164233	0.446196	0.0173354

-3	5	65.311	-0.165895	65.4769	0.166978
-3	10	15.5314	-0.105352	15.6368	0.106702
-3	15	3.47608	-0.0662177	3.5423	0.0674992
-3	20	0.827107	-0.0370847	0.864191	0.0382469
-3	25	0.447251	-0.0166875	0.463938	0.0177402
-3	30	0.440738	-0.00545765	0.446196	0.00638617

-2	5	65.4168	-0.0600293	65.4769	0.061796
-2	10	15.599	-0.0377625	15.6368	0.0394176
-2	15	3.51882	-0.0234841	3.5423	0.0249084
-2	20	0.851309	-0.0128822	0.864191	0.0141004
-2	25	0.458471	-0.00546684	0.463938	0.00653413
-2	30	0.444776	-0.00141979	0.446196	0.00235054

-1	5	65.456	-0.0209234	65.4769	0.022784
-1	10	15.624	-0.0128266	15.6368	0.0145233
-1	15	3.53457	-0.00773001	3.5423	0.00917377
-1	20	0.860226	-0.0039655	0.864191	0.00519136
-1	25	0.462603	-0.00133556	0.463938	0.00240484
-1	30	0.446196	0	0.446196	0.000864878

0	5	65.4704	-0.00651535	65.4769	0.00838861
0	10	15.6331	-0.00364347	15.6368	0.00534587
0	15	3.54037	-0.00192986	3.5423	0.00337626
0	20	0.863508	-0.000683454	0.864191	0.00191035
0	25	0.463938	0	0.463938	0.000884836
0	30	0.446196	0	0.446196	0.000318193

