# dg0 (kT)	h (nm)	Total F (kT)	F_att (kT)	F_rep (kT)	avg_num_bonds
-30	5	-1492.49	-1535.44	42.9532	111.545
-29	5	-1382.33	-1425.29	42.9532	108.737
-28	5	-1275.07	-1318.02	42.9532	105.774
-27	5	-1170.83	-1213.78	42.9532	102.684
-26	5	-1069.72	-1112.67	42.9532	99.5278
-25	5	-971.787	-1014.74	42.9532	96.3258
-24	5	-877.099	-920.052	42.9532	93.027
-23	5	-785.799	-828.753	42.9532	89.5314
-22	5	-698.119	-741.073	42.9532	85.7909
-21	5	-614.272	-657.226	42.9532	81.8878
-20	5	-534.357	-577.31	42.9532	77.9408
-19	5	-458.409	-501.362	42.9532	73.935
-18	5	-386.55	-429.503	42.9532	69.7403
-17	5	-319.025	-361.978	42.9532	65.2577
-16	5	-256.141	-299.095	42.9532	60.4556
-15	5	-198.23	-241.183	42.9532	55.3027
-14	5	-145.686	-188.639	42.9532	49.6993
-13	5	-99.0241	-141.977	42.9532	43.5221
-12	5	-58.8393	-101.793	42.9532	36.7573
-11	5	-25.6575	-68.6107	42.9532	29.5533
-10	5	0.215561	-42.7377	42.9532	22.1991
-9	5	18.8386	-24.1146	42.9532	15.1469
-8	5	30.8327	-12.1205	42.9532	9.06737
-7	5	37.5323	-5.42093	42.9532	4.64605
-6	5	40.745	-2.20822	42.9532	2.0595
-5	5	42.1038	-0.849429	42.9532	0.826728
-4	5	42.6358	-0.31744	42.9532	0.315264
-3	5	42.8365	-0.116775	42.9532	0.117597
-2	5	42.911	-0.0422467	42.9532	0.0434864
-1	5	42.9385	-0.0147316	42.9532	0.0160285
0	5	42.9486	-0.0045961	42.9532	0.00590074

-30	10	-1328.58	-1338.73	10.151	98.1974
-29	10	-1231.47	-1241.62	10.151	96.0204
-28	10	-1136.59	-1146.74	10.151	93.6965
-27	10	-1044.17	-1054.32	10.151	91.0897
-26	10	-954.516	-964.667	10.151	88.1726
-25	10	-867.89	-878.041	10.151	85.0634
-24	10	-784.391	-794.542	10.151	81.9446
-23	10	-703.979	-714.13	10.151	78.8857
-22	10	-626.631	-636.782	10.151	75.7912
-21	10	-552.455	-562.606	10.151	72.5238
-20	10	-481.662	-491.813	10.151	69.0225
-19	10	-414.484	-424.635	10.151	65.2981
-18	10	-351.139	-361.29	10.151	61.3531
-17	10	-291.865	-302.016	10.151	57.1451
-16	10	-236.962	-247.113	10.151	52.5997
-15	10	-186.802	-196.953	10.151	47.647
-14	10	-141.819	-151.97	10.151	42.242
-13	10	-102.466	-112.617	10.151	36.3978
-12	10	-69.1367	-79.2877	10.151	30.2143
-11	10	-42.1041	-52.2551	10.151	23.8309
-10	10	-21.4748	-31.6258	10.151	17.4544
-9	10	-7.06334	-17.2144	10.151	11.4831
-8	10	1.83674	-8.31429	10.151	6.54615
-7	10	6.56166	-3.58936	10.151	3.18451
-6	10	8.7231	-1.42793	10.151	1.35655
-5	10	9.60856	-0.542471	10.151	0.532597
-4	10	9.9496	-0.201424	10.151	0.201094
-3	10	10.0773	-0.0736796	10.151	0.0747139
-2	10	10.1247	-0.0263644	10.151	0.0275872
-1	10	10.1421	-0.00891408	10.151	0.0101626
0	10	10.1485	-0.00248848	10.151	0.00374049

-30	15	-1156.28	-1158.6	2.32414	86.9083
-29	15	-1070.58	-1072.9	2.32414	84.5137
-28	15	-987.21	-989.534	2.32414	82.2356
-27	15	-906.083	-908.407	2.32414	80.0219
-26	15	-827.181	-829.505	2.32414	77.7643
-25	15	-750.603	-752.927	2.32414	75.3603
-24	15	-676.528	-678.852	2.32414	72.7567
-23	15	-605.152	-607.476	2.32414	69.969
-22	15	-536.638	-538.962	2.32414	67.0365
-21	15	-471.122	-473.447	2.32414	63.9705
-20	15	-408.757	-411.081	2.32414	60.7219
-19	15	-349.773	-352.097	2.32414	57.1929
-18	15	-294.486	-296.81	2.32414	53.3237
-17	15	-243.23	-245.555	2.32414	49.1381
-16	15	-196.309	-198.633	2.32414	44.6524
-15	15	-154.03	-156.354	2.32414	39.8555
-14	15	-116.687	-119.011	2.32414	34.7929
-13	15	-84.5073	-86.8314	2.32414	29.5403
-12	15	-57.6523	-59.9764	2.32414	24.1511
-11	15	-36.2308	-38.555	2.32414	18.6869
-10	15	-20.2573	-22.5815	2.32414	13.2953
-9	15	-9.48724	-11.8114	2.32414	8.372
-8	15	-3.15303	-5.47717	2.32414	4.52049
-7	15	0.0350769	-2.28906	2.32414	2.09052
-6	15	1.43117	-0.892973	2.32414	0.860613
-5	15	1.98817	-0.335967	2.32414	0.332071
-4	15	2.20004	-0.1241	2.32414	0.124461
-3	15	2.27899	-0.0451502	2.32414	0.046109
-2	15	2.30817	-0.0159658	2.32414	0.0170068
-1	15	2.31893	-0.00521026	2.32414	0.00626247
0	15	2.32289	-0.00125092	2.32414	0.00230465

-30	20	-992.4	-992.951	0.551572	76.9579
-29	20	-916.355	-916.906	0.551572	75.1122
-28	20	-842.213	-842.765	0.551572	73.1514
-27	20	-770.089	-770.641	0.551572	71.0783
-26	20	-700.09	-700.642	0.551572	68.9053
-25	20	-632.305	-632.856	0.551572	66.6537
-24	20	-566.814	-567.365	0.551572	64.3059
-23	20	-503.756	-504.308	0.551572	61.7686
-22	20	-443.374	-443.925	0.551572	58.9437
-21	20	-385.971	-386.522	0.551572	55.8148
-20	20	-331.831	-332.383	0.551572	52.4238
-19	20	-281.2	-281.752	0.551572	48.7993
-18	20	-234.314	-234.866	0.551572	44.9318
-17	20	-191.414	-191.966	0.551572	40.8335
-16	20	-152.704	-153.255	0.551572	36.5651
-15	20	-118.322	-118.873	0.551572	32.1827
-14	20	-88.3652	-88.9168	0.551572	27.7197
-13	20	-62.8983	-63.4498	0.551572	23.2068
-12	20	-41.9732	-42.5248	0.551572	18.6274
-11	20	-25.6757	-26.2273	0.551572	13.9596
-10	20	-14.0167	-14.5683	0.551572	9.41572
-9	20	-6.62998	-7.18155	0.551572	5.51444
-8	20	-2.60227	-3.15384	0.551572	2.75334
-7	20	-0.716907	-1.26848	0.551572	1.19504
-6	20	0.0669105	-0.484661	0.551572	0.473884
-5	20	0.371012	-0.180559	0.551572	0.179705
-4	20	0.485267	-0.0663047	0.551572	0.0668814
-3	20	0.527636	-0.023936	0.551572	0.0247111
-2	20	0.543269	-0.00830312	0.551572	0.00910529
-1	20	0.549026	-0.00254578	0.551572	0.00335163
0	20	0.551145	-0.000426917	0.551572	0.00123326

-30	25	-833.755	-834.229	0.4742	68.1736
-29	25	-766.335	-766.809	0.4742	66.6584
-28	25	-700.474	-700.948	0.4742	65.0339
-27	25	-636.348	-636.822	0.4742	63.1673
-26	25	-574.244	-574.718	0.4742	60.9895
-25	25	-514.461	-514.935	0.4742	58.5394
-24	25	-457.225	-457.699	0.4742	55.9092
-23	25	-402.684	-403.158	0.4742	53.1502
-22	25	-350.981	-351.455	0.4742	50.2201
-21	25	-302.326	-302.8	0.4742	47.0466
-20	25	-256.969	-257.444	0.4742	43.6317
-19	25	-215.117	-215.591	0.4742	40.0529
-18	25	-176.894	-177.368	0.4742	36.3806
-17	25	-142.377	-142.852	0.4742	32.6437
-16	25	-111.619	-112.093	0.4742	28.8725
-15	25	-84.625	-85.0992	0.4742	25.1219
-14	25	-61.3663	-61.8405	0.4742	21.3914
-13	25	-41.8789	-42.3531	0.4742	17.5512
-12	25	-26.3378	-26.812	0.4742	13.5
-11	25	-14.8943	-15.3685	0.4742	9.41309
-10	25	-7.37089	-7.84509	0.4742	5.74998
-9	25	-3.08438	-3.55858	0.4742	3.0051
-8	25	-0.99054	-1.46474	0.4742	1.35425
-7	25	-0.0926612	-0.566861	0.4742	0.549241
-6	25	0.261626	-0.212574	0.4742	0.210488
-5	25	0.395737	-0.0784628	0.4742	0.0786749
-4	25	0.445618	-0.0285821	0.4742	0.0291164
-3	25	0.464043	-0.0101567	0.4742	0.0107351
-2	25	0.470832	-0.00336801	0.4742	0.00395245
-1	25	0.473331	-0.000869204	0.4742	0.00145446
0	25	0.4742	0	0.4742	0.000535126

-30	30	-676.594	-677.005	0.410885	60.3385
-29	30	-617.262	-617.673	0.410885	58.3059
-28	30	-560.001	-560.412	0.410885	56.2143
-27	30	-504.834	-505.244	0.410885	54.1174
-26	30	-451.794	-452.205	0.410885	51.9362
-25	30	-401.034	-401.445	0.410885	49.5393
-24	30	-352.808	-353.219	0.410885	46.8702
-23	30	-307.366	-307.777	0.410885	43.986
-22	30	-264.876	-265.287	0.410885	40.9791
-21	30	-225.435	-225.846	0.410885	37.8899
-20	30	-189.122	-189.533	0.410885	34.7242
-19	30	-156.003	-156.414	0.410885	31.5085
-18	30	-126.1	-126.511	0.410885	28.307
-17	30	-99.3585	-99.7694	0.410885	25.1957
-16	30	-75.6768	-76.0876	0.410885	22.1744
-15	30	-55.0305	-55.4414	0.410885	19.0884
-14	30	-37.5897	-38.0005	0.410885	15.7402
-13	30	-23.6473	-24.0581	0.410885	12.1095
-12	30	-13.3881	-13.799	0.410885	8.43353
-11	30	-6.64939	-7.06028	0.410885	5.15065
-10	30	-2.8057	-3.21659	0.410885	2.70012
-9	30	-0.919605	-1.33049	0.410885	1.22425
-8	30	-0.105847	-0.516732	0.410885	0.499294
-7	30	0.216717	-0.194168	0.410885	0.191958
-6	30	0.339108	-0.0717775	0.410885	0.071851
-5	30	0.384675	-0.0262106	0.410885	0.0266059
-4	30	0.401513	-0.009372	0.410885	0.00981157
-3	30	0.407718	-0.00316712	0.410885	0.00361271
-2	30	0.410002	-0.00088307	0.410885	0.00132948
-1	30	0.410843	-4.2626e-05	0.410885	0.000489149
0	30	0.410885	0	0.410885	0.000179956

