# dg0 (kT)	h (nm)	Total F (kT)	F_att (kT)	F_rep (kT)	avg_num_bonds
-7.55709	5	48.4332	-9.11202	57.5452	7.25551
-7.55709	10	7.63927	-6.06168	13.701	5.04203
-7.55709	15	-0.694169	-3.92588	3.23171	3.3726
-7.55709	20	-1.52999	-2.30146	0.77147	2.0476
-7.55709	25	-0.631562	-1.12252	0.490959	1.04328
-7.55709	30	-0.0588601	-0.42248	0.36362	0.408706

-7.80959	5	46.4426	-11.1026	57.5452	8.53405
-7.80959	10	6.24688	-7.45408	13.701	6.00645
-7.80959	15	-1.63062	-4.86232	3.23171	4.06062
-7.80959	20	-2.10214	-2.87361	0.77147	2.49597
-7.80959	25	-0.925693	-1.41665	0.490959	1.29418
-7.80959	30	-0.175168	-0.538788	0.36362	0.516448

-8.31952	5	41.3546	-16.1906	57.5452	11.5048
-8.31952	10	2.61728	-11.0837	13.701	8.30653
-8.31952	15	-4.11334	-7.34505	3.23171	5.74254
-8.31952	20	-3.64949	-4.42096	0.77147	3.62391
-8.31952	25	-1.74469	-2.23565	0.490959	1.95441
-8.31952	30	-0.509831	-0.873451	0.36362	0.816616

-8.577	5	38.1785	-19.3668	57.5452	13.1856
-8.577	10	0.309279	-13.3917	13.701	9.63975
-8.577	15	-5.71834	-8.95005	3.23171	6.74109
-8.577	20	-4.66942	-5.44089	0.77147	4.31208
-8.577	25	-2.30074	-2.79169	0.490959	2.37506
-8.577	30	-0.745427	-1.10905	0.36362	1.01991

-8.96639	5	32.5181	-25.0271	57.5452	15.9232
-8.96639	10	-3.86818	-17.5691	13.701	11.854
-8.96639	15	-8.66593	-11.8976	3.23171	8.43382
-8.96639	20	-6.57499	-7.34646	0.77147	5.50581
-8.96639	25	-3.36805	-3.85901	0.490959	3.1314
-8.96639	30	-1.21469	-1.57831	0.36362	1.4074

