# dg0 (kT)	h (nm)	Total F (kT)	F_att (kT)	F_rep (kT)	avg_num_bonds
-30	5	-1530.58	-1573.28	42.6969	110.072
-29	5	-1421.42	-1464.12	42.6969	108.204
-28	5	-1314.26	-1356.96	42.6969	106.076
-27	5	-1209.36	-1252.06	42.6969	103.688
-26	5	-1106.96	-1149.66	42.6969	101.077
-25	5	-1007.25	-1049.95	42.6969	98.3303
-24	5	-910.313	-953.01	42.6969	95.5431
-23	5	-816.167	-858.864	42.6969	92.7478
-22	5	-724.823	-767.52	42.6969	89.9359
-21	5	-636.311	-679.008	42.6969	87.0722
-20	5	-550.738	-593.435	42.6969	84.0262
-19	5	-468.408	-511.105	42.6969	80.53
-18	5	-389.936	-432.633	42.6969	76.2616
-17	5	-316.216	-358.913	42.6969	71.008
-16	5	-248.251	-290.948	42.6969	64.7682
-15	5	-186.946	-229.643	42.6969	57.7343
-14	5	-132.936	-175.633	42.6969	50.2392
-13	5	-86.5084	-129.205	42.6969	42.6124
-12	5	-47.7176	-90.4146	42.6969	34.9621
-11	5	-16.6004	-59.2974	42.6969	27.2724
-10	5	6.87994	-35.817	42.6969	19.7522
-9	5	23.1297	-19.5672	42.6969	12.914
-8	5	33.1499	-9.54703	42.6969	7.39653
-7	5	38.5208	-4.17618	42.6969	3.6521
-6	5	41.0177	-1.67925	42.6969	1.58123
-5	5	42.055	-0.641949	42.6969	0.627404
-4	5	42.4577	-0.239201	42.6969	0.238088
-3	5	42.6091	-0.087802	42.6969	0.0886407
-2	5	42.6653	-0.0316451	42.6969	0.0327553
-1	5	42.686	-0.0109226	42.6969	0.01207
0	5	42.6937	-0.00329057	42.6969	0.00444302

-30	10	-1374.33	-1384.47	10.1407	99.918
-29	10	-1275.39	-1285.53	10.1407	97.9636
-28	10	-1178.39	-1188.53	10.1407	96.0521
-27	10	-1083.29	-1093.43	10.1407	94.1371
-26	10	-990.126	-1000.27	10.1407	92.1852
-25	10	-898.935	-909.076	10.1407	90.1873
-24	10	-809.781	-819.921	10.1407	88.0994
-23	10	-722.806	-732.946	10.1407	85.8022
-22	10	-638.307	-648.447	10.1407	83.1132
-21	10	-556.78	-566.921	10.1407	79.8233
-20	10	-478.917	-489.058	10.1407	75.768
-19	10	-405.51	-415.651	10.1407	70.9188
-18	10	-337.309	-347.449	10.1407	65.3828
-17	10	-274.916	-285.056	10.1407	59.3364
-16	10	-218.724	-228.865	10.1407	53.0256
-15	10	-168.87	-179.011	10.1407	46.691
-14	10	-125.33	-135.471	10.1407	40.3855
-13	10	-88.1314	-98.272	10.1407	33.9864
-12	10	-57.4045	-67.5451	10.1407	27.4547
-11	10	-33.2077	-43.3484	10.1407	20.9683
-10	10	-15.3602	-25.5009	10.1407	14.8082
-9	10	-3.35568	-13.4963	10.1407	9.36152
-8	10	3.77325	-6.36741	10.1407	5.1387
-7	10	7.43376	-2.7069	10.1407	2.43197
-6	10	9.0723	-1.06836	10.1407	1.02051
-5	10	9.73621	-0.404449	10.1407	0.397995
-4	10	9.99072	-0.149931	10.1407	0.149875
-3	10	10.0859	-0.0547708	10.1407	0.055628
-2	10	10.1211	-0.019549	10.1407	0.0205323
-1	10	10.1341	-0.0065622	10.1407	0.00756266
0	10	10.1389	-0.00178061	10.1407	0.0027834

-30	15	-1201.49	-1203.76	2.27027	92.0994
-29	15	-1110.08	-1112.35	2.27027	90.7112
-28	15	-1020.08	-1022.35	2.27027	89.2621
-27	15	-931.602	-933.872	2.27027	87.6677
-26	15	-844.837	-847.107	2.27027	85.8075
-25	15	-760.12	-762.39	2.27027	83.5488
-24	15	-677.92	-680.191	2.27027	80.7483
-23	15	-598.837	-601.107	2.27027	77.31
-22	15	-523.506	-525.777	2.27027	73.2554
-21	15	-452.505	-454.775	2.27027	68.6642
-20	15	-386.328	-388.599	2.27027	63.6255
-19	15	-325.342	-327.612	2.27027	58.3271
-18	15	-269.671	-271.941	2.27027	53.0338
-17	15	-219.225	-221.496	2.27027	47.8774
-16	15	-173.906	-176.176	2.27027	42.7488
-15	15	-133.788	-136.058	2.27027	37.4455
-14	15	-99.0909	-101.361	2.27027	31.9216
-13	15	-69.9618	-72.2321	2.27027	26.3459
-12	15	-46.3576	-48.6279	2.27027	20.8893
-11	15	-28.1239	-30.3942	2.27027	15.6135
-10	15	-15.0245	-17.2947	2.27027	10.6664
-9	15	-6.54976	-8.82003	2.27027	6.44464
-8	15	-1.74869	-4.01896	2.27027	3.36975
-7	15	0.606276	-1.66399	2.27027	1.52988
-6	15	1.62378	-0.646493	2.27027	0.624687
-5	15	2.02745	-0.242821	2.27027	0.240281
