# dg0 (kT)	h (nm)	Total F (kT)	F_att (kT)	F_rep (kT)	avg_num_bonds
-2	20	0.609846	-0.004225	0.614071	0.00469909
-1	20	0.612817	-0.00125392	0.614071	0.0017295
0	20	0.61391	-0.000160578	0.614071	0.000636355

-30	25	-675.231	-675.62	0.388705	62.9024
-29	25	-613.489	-613.877	0.388705	60.5493
-28	25	-554.196	-554.584	0.388705	58.0067
-27	25	-497.529	-497.918	0.388705	55.3038
-26	25	-443.628	-444.016	0.388705	52.4814
-25	25	-392.603	-392.992	0.388705	49.5454
-24	25	-344.587	-344.976	0.388705	46.46
-23	25	-299.73	-300.119	0.388705	43.2392
-22	25	-258.111	-258.5	0.388705	40.0116
-21	25	-219.664	-220.052	0.388705	36.9077
-20	25	-184.258	-184.646	0.388705	33.9142
-19	25	-151.836	-152.225	0.388705	30.9197
-18	25	-122.45	-122.839	0.388705	27.831
-17	25	-96.2228	-96.6115	0.388705	24.5983
-16	25	-73.2978	-73.6865	0.388705	21.2362
-15	25	-53.7636	-54.1523	0.388705	17.8345
-14	25	-37.6103	-37.999	0.388705	14.4875
-13	25	-24.7454	-25.1341	0.388705	11.27
-12	25	-15.0049	-15.3936	0.388705	8.24829
-11	25	-8.15834	-8.54705	0.388705	5.50262
-10	25	-3.84517	-4.23388	0.388705	3.22218
-9	25	-1.48485	-1.87356	0.388705	1.62116
-8	25	-0.369921	-0.758626	0.388705	0.710605
-7	25	0.0976707	-0.291035	0.388705	0.283722
-6	25	0.280041	-0.108665	0.388705	0.107955
-5	25	0.348725	-0.0399809	0.388705	0.0402338
-4	25	0.374219	-0.0144864	0.388705	0.0148734
-3	25	0.383629	-0.00507617	0.388705	0.00548149
-2	25	0.387095	-0.00161006	0.388705	0.00201787
-1	25	0.388371	-0.000334363	0.388705	0.000742514
0	25	0.388705	0	0.388705	0.00027318

-30	30	-518.691	-519.051	0.359849	50.7705
-29	30	-469.046	-469.406	0.359849	48.4946
-28	30	-421.757	-422.117	0.359849	46.0558
-27	30	-376.978	-377.338	0.359849	43.4918
-26	30	-334.768	-335.127	0.359849	40.9453
-25	30	-295.038	-295.398	0.359849	38.541
-24	30	-257.639	-257.998	0.359849	36.2747
-23	30	-222.474	-222.834	0.359849	34.0533
-22	30	-189.545	-189.904	0.359849	31.7958
-21	30	-158.912	-159.272	0.359849	29.4491
-20	30	-130.705	-131.065	0.359849	26.9256
-19	30	-105.147	-105.507	0.359849	24.1484
-18	30	-82.4787	-82.8386	0.359849	21.1641
-17	30	-62.8384	-63.1982	0.359849	18.1192
-16	30	-46.2174	-46.5772	0.359849	15.1412
-15	30	-32.509	-32.8689	0.359849	12.3029
-14	30	-21.5547	-21.9146	0.359849	9.63298
-13	30	-13.1923	-13.5521	0.359849	7.11754
-12	30	-7.25462	-7.61447	0.359849	4.80234
-11	30	-3.46425	-3.8241	0.359849	2.85771
-10	30	-1.35354	-1.71338	0.359849	1.46449
-9	30	-0.339625	-0.699474	0.359849	0.651068
-8	30	0.0903994	-0.26945	0.359849	0.261964
-7	30	0.259067	-0.100782	0.359849	0.100015
-6	30	0.322742	-0.0371068	0.359849	0.037325
-5	30	0.346399	-0.0134495	0.359849	0.0138051
-4	30	0.355135	-0.00471434	0.359849	0.00508874
-3	30	0.358353	-0.00149646	0.359849	0.00187342
-2	30	0.359537	-0.00031207	0.359849	0.000689379
-1	30	0.359849	0	0.359849	0.000253634
0	30	0.359849	0	0.359849	9.33101e-05

