# dg0 (kT)	h (nm)	Total F (kT)	F_att (kT)	F_rep (kT)	avg_num_bonds
-30	5	-1442.81	-1494.9	52.092	100.275
-30	10	-1319.18	-1331.57	12.3961	88.7748
-30	15	-1186.84	-1189.62	2.78357	81.6145
-30	20	-1042.59	-1043.31	0.717015	76.0079
-30	25	-891.287	-891.733	0.445795	68.8136
-30	30	-742.632	-743.002	0.370005	61.3602

-29	5	-1343.41	-1395.5	52.092	98.4846
-29	10	-1231.34	-1243.74	12.3961	86.9421
-29	15	-1105.79	-1108.57	2.78357	80.4745
-29	20	-967.208	-967.925	0.717015	74.7206
-29	25	-823.202	-823.647	0.445795	67.3324
-29	30	-681.931	-682.301	0.370005	59.9982

-28	5	-1245.93	-1298.03	52.092	96.4113
-28	10	-1145.21	-1157.6	12.3961	85.3646
-28	15	-1025.9	-1028.68	2.78357	79.3016
-28	20	-893.198	-893.915	0.717015	73.2818
-28	25	-756.666	-757.112	0.445795	65.7203
-28	30	-622.724	-623.094	0.370005	58.3736

-27	5	-1150.7	-1202.8	52.092	93.9945
-27	10	-1060.56	-1072.95	12.3961	83.9425
-27	15	-947.201	-949.985	2.78357	78.0841
-27	20	-820.676	-821.393	0.717015	71.7431
-27	25	-691.792	-692.237	0.445795	64.0164
-27	30	-565.259	-565.629	0.370005	56.5238

-26	5	-1058.04	-1110.13	52.092	91.3112
-26	10	-977.321	-989.717	12.3961	82.5208
-26	15	-869.763	-872.547	2.78357	76.7685
-26	20	-749.761	-750.478	0.717015	70.0547
-26	25	-628.658	-629.104	0.445795	62.2352
-26	30	-509.732	-510.102	0.370005	54.5078

-25	5	-968.092	-1020.18	52.092	88.5947
-25	10	-895.548	-907.944	12.3961	81.0074
-25	15	-793.726	-796.51	2.78357	75.2653
-25	20	-680.649	-681.366	0.717015	68.1227
-25	25	-567.368	-567.814	0.445795	60.312
-25	30	-456.284	-456.654	0.370005	52.3677

-24	5	-880.77	-932.862	52.092	86.1001
-24	10	-815.339	-827.736	12.3961	79.394
-24	15	-719.324	-722.108	2.78357	73.4886
-24	20	-613.607	-614.324	0.717015	65.9176
-24	25	-508.115	-508.561	0.445795	58.1488
-24	30	-405.045	-405.415	0.370005	50.0813

-23	5	-795.794	-847.886	52.092	83.8905
-23	10	-736.794	-749.19	12.3961	77.6757
-23	15	-646.855	-649.639	2.78357	71.3943
-23	20	-548.888	-549.605	0.717015	63.4901
-23	25	-451.159	-451.605	0.445795	55.7219
-23	30	-356.188	-356.558	0.370005	47.5964

-22	5	-712.948	-765.04	52.092	81.803
-22	10	-660.048	-672.444	12.3961	75.7741
-22	15	-576.655	-579.438	2.78357	68.9426
-22	20	-486.681	-487.398	0.717015	60.8988
-22	25	-396.741	-397.186	0.445795	53.0869
-22	30	-309.917	-310.287	0.370005	44.9188

-21	5	-632.218	-684.31	52.092	79.6279
-21	10	-585.359	-597.755	12.3961	73.5332
-21	15	-509.1	-511.883	2.78357	66.105
-21	20	-427.149	-427.866	0.717015	58.1314
-21	25	-345.039	-345.484	0.445795	50.2899
-21	30	-266.4	-266.77	0.370005	42.0923

-20	5	-553.765	-605.857	52.092	77.2345
-20	10	-513.144	-525.54	12.3961	70.8098
-20	15	-444.553	-447.337	2.78357	62.9442
-20	20	-370.496	-371.213	0.717015	55.1324
-20	25	-296.225	-296.67	0.445795	47.3004
-20	30	-225.778	-226.148	0.370005	39.129

-19	5	-477.855	-529.947	52.092	74.5213
-19	10	-443.917	-456.313	12.3961	67.5577
-19	15	-383.281	-386.064	2.78357	59.5711
-19	20	-316.965	-317.682	0.717015	51.8908
-19	25	-250.52	-250.966	0.445795	44.0668
-19	30	-188.176	-188.546	0.370005	36.0652

-18	5	-404.883	-456.975	52.092	71.327
-18	10	-378.188	-390.584	12.3961	63.8305
-18	15	-325.474	-328.257	2.78357	56.0054
-18	20	-266.793	-267.51	0.717015	48.4122
-18	25	-208.172	-208.618	0.445795	40.5913
-18	30	-153.656	-154.026	0.370005	32.975

-17	5	-335.412	-387.504	52.092	67.5056
-17	10	-316.373	-328.769	12.3961	59.7503
-17	15	-271.359	-274.143	2.78357	52.1722
-17	20	-220.235	-220.952	0.717015	44.6499
-17	25	-169.404	-169.849	0.445795	36.9185
-17	30	-122.232	-122.602	0.370005	29.8627

-16	5	-270.084	-322.176	52.092	63.0526
-16	10	-258.781	-271.177	12.3961	55.3818
-16	15	-221.242	-224.026	2.78357	48.0015
-16	20	-177.605	-178.322	0.717015	40.5535
-16	25	-134.374	-134.82	0.445795	33.1278
-16	30	-93.9732	-94.3432	0.370005	26.6201

-15	5	-209.487	-261.579	52.092	58.0563
-15	10	-205.733	-218.129	12.3961	50.6406
-15	15	-175.488	-178.272	2.78357	43.4353
-15	20	-139.232	-139.949	0.717015	36.1496
-15	25	-103.166	-103.612	0.445795	29.277
-15	30	-69.0843	-69.4543	0.370005	23.1018

-14	5	-154.143	-206.235	52.092	52.5394
-14	10	-157.665	-170.061	12.3961	45.407
-14	15	-134.519	-137.302	2.78357	38.4316
-14	20	-105.374	-106.091	0.717015	31.542
-14	25	-75.8601	-76.3059	0.445795	25.3041
-14	30	-47.8895	-48.2595	0.370005	19.2278

-13	5	-104.61	-156.702	52.092	46.4195
-13	10	-115.102	-127.498	12.3961	39.6274
-13	15	-98.7553	-101.539	2.78357	33.0405
-13	20	-76.1863	-76.9033	0.717015	26.8132
-13	25	-52.6456	-53.0914	0.445795	21.0723
-13	30	-30.7359	-31.1059	0.370005	15.0378

-12	5	-61.523	-113.615	52.092	39.6476
-12	10	-78.583	-90.9791	12.3961	33.3337
-12	15	-68.5206	-71.3041	2.78357	27.3989
-12	20	-51.7998	-52.5168	0.717015	21.926
-12	25	-33.8222	-34.268	0.445795	16.5279
-12	30	-17.8534	-18.2234	0.370005	10.7376

-11	5	-25.507	-77.599	52.092	32.3037
-11	10	-48.5566	-60.9527	12.3961	26.6782
-11	15	-44.0036	-46.7872	2.78357	21.6177
-11	20	-32.4062	-33.1233	0.717015	16.8311
-11	25	-19.6416	-20.0874	0.445795	11.8386
-11	30	-9.15546	-9.52546	0.370005	6.75815

-10	5	2.97494	-49.117	52.092	24.64
-10	10	-25.2595	-37.6555	12.3961	19.9277
-10	15	-25.2995	-28.0831	2.78357	15.8022
-10	20	-18.1504	-18.8675	0.717015	11.7109
-10	25	-10.0431	-10.4889	0.445795	7.46217
-10	30	-4.04575	-4.41576	0.370005	3.64381

-9	5	23.8279	-28.2641	52.092	17.1488
-9	10	-8.60472	-21.0008	12.3961	13.4757
-9	15	-12.3005	-15.084	2.78357	10.2962
-9	20	-8.81624	-9.53325	0.717015	7.10124
-9	25	-4.40363	-4.84943	0.445795	4.01705
-9	30	-1.4765	-1.84651	0.370005	1.6848

-8	5	37.5666	-14.5254	52.092	10.5424
-8	10	1.99726	-10.3988	12.3961	7.94343
-8	15	-4.38232	-7.16589	2.78357	5.76155
-8	20	-3.55381	-4.27083	0.717015	3.65847
-8	25	-1.57572	-2.02151	0.445795	1.85024
-8	30	-0.350913	-0.720918	0.370005	0.694299

-7	5	45.4603	-6.63166	52.092	5.56435
-7	10	7.81476	-4.58132	12.3961	3.98873
-7	15	-0.263771	-3.04734	2.78357	2.74247
-7	20	-1.0225	-1.73951	0.717015	1.62313
-7	25	-0.341628	-0.787423	0.445795	0.759737
-7	30	0.0986444	-0.271361	0.370005	0.268147

-6	5	49.3514	-2.74057	52.092	2.52664
-6	10	10.5505	-1.84559	12.3961	1.73701
-6	15	1.58323	-1.20035	2.78357	1.14902
-6	20	0.0482279	-0.668787	0.717015	0.651293
-6	25	0.149808	-0.295987	0.445795	0.292809
-6	30	0.269766	-0.100239	0.370005	0.10055

-5	5	51.0297	-1.06223	52.092	1.02863
-5	10	11.6907	-0.705416	12.3961	0.689875
-5	15	2.32997	-0.453599	2.78357	0.447102
-5	20	0.467257	-0.249759	0.717015	0.248276
-5	25	0.336582	-0.109213	0.445795	0.109695
-5	30	0.333555	-0.0364502	0.370005	0.0372582

-4	5	51.6938	-0.398206	52.092	0.394808
-4	10	12.1335	-0.262566	12.3961	0.26178
-4	15	2.61572	-0.167849	2.78357	0.168158
-4	20	0.625271	-0.0917447	0.717015	0.0925936
-4	25	0.40616	-0.0396347	0.445795	0.0406321
-4	30	0.357138	-0.0128669	0.370005	0.0137434

-3	5	51.9454	-0.146584	52.092	0.147654
-3	10	12.3	-0.0961091	12.3961	0.0974515
-3	15	2.72246	-0.0611078	2.78357	0.0623813
-3	20	0.683951	-0.0330646	0.717015	0.0342381
-3	25	0.431877	-0.0139177	0.445795	0.0149858
-3	30	0.36583	-0.00417515	0.370005	0.00506091

-2	5	52.039	-0.0529604	52.092	0.0546559
-2	10	12.3617	-0.0343717	12.3961	0.0360094
-2	15	2.76196	-0.0216141	2.78357	0.0230202
-2	20	0.705614	-0.0114015	0.717015	0.0126194
-2	25	0.441355	-0.00444042	0.445795	0.00551813
-2	30	0.36903	-0.000975465	0.370005	0.00186248

-1	5	52.0736	-0.0183717	52.092	0.0201529
-1	10	12.3845	-0.0115908	12.3961	0.0132688
-1	15	2.77652	-0.00705415	2.78357	0.00847839
-1	20	0.713594	-0.00342171	0.717015	0.00464566
-1	25	0.444843	-0.000951696	0.445795	0.00203071
-1	30	0.370005	0	0.370005	0.000685261

0	5	52.0863	-0.00562719	52.092	0.00742013
0	10	12.3929	-0.00320075	12.3961	0.00488427
0	15	2.78188	-0.00169365	2.78357	0.00312034
0	20	0.716531	-0.00048472	0.717015	0.00170948
0	25	0.445795	0	0.445795	0.00074715
0	30	0.370005	0	0.370005	0.000252106

