# DeltaG0 (kT)	h (nm)	Explicit + Derjaguin Pair potential (kT)	Mean field + Derjaguin Pair potential (kT)
-9.89012	12.5	-7.42103	-7.35526
-9.89012	13	-7.80093	-7.69198
-9.89012	13.5	-8.06001	-7.91128
-9.89012	14	-8.21565	-8.0303
-9.89012	14.5	-8.28287	-8.06388
-9.89012	15	-8.27439	-8.02486
-9.89012	15.5	-8.20173	-7.92472
-9.89012	16	-8.0748	-7.77296
-9.89012	16.5	-7.9031	-7.57921
-9.89012	17	-7.69364	-7.35039
-9.89012	17.5	-7.45262	-7.09259
-9.89012	18	-7.18662	-6.81262
-9.89012	18.5	-6.90145	-6.51609
-9.89012	19	-6.60145	-6.20702
-9.89012	19.5	-6.29058	-5.88944
-9.89012	20	-5.97292	-5.56737
-9.89012	20.5	-5.65167	-5.24399
-9.89012	21	-5.32939	-4.92181
-9.89012	21.5	-5.00832	-4.60286
-9.89012	22	-4.69092	-4.28961
-9.89012	22.5	-4.37915	-3.9839
-9.89012	23	-4.07437	-3.68693
-9.89012	23.5	-3.77789	-3.39992
-9.89012	24	-3.49079	-3.12389
-9.89012	24.5	-3.2141	-2.85974
-9.89012	25	-2.9487	-2.60817
-9.89012	25.5	-2.69514	-2.36961
-9.89012	26	-2.45384	-2.14436
-9.89012	26.5	-2.22518	-1.93257
-9.89012	27	-2.0094	-1.73431
-9.89012	27.5	-1.80658	-1.54952
-9.89012	28	-1.61678	-1.37806
-9.89012	28.5	-1.43976	-1.21956
-9.89012	29	-1.27539	-1.07359
-9.89012	29.5	-1.12346	-0.9398
-9.89012	30	-0.983629	-0.817783
-9.89012	30.5	-0.855566	-0.707009
-9.89012	31	-0.738829	-0.606925
-9.89012	31.5	-0.633012	-0.516986
-9.89012	32	-0.537652	-0.436624
-9.89012	32.5	-0.452185	-0.365204
-9.89012	33	-0.376109	-0.302135
-9.89012	33.5	-0.308905	-0.246857
-9.89012	34	-0.250023	-0.198809
-9.89012	34.5	-0.198906	-0.157405
-9.89012	35	-0.154982	-0.122089
-9.89012	35.5	-0.117719	-0.0923358
-9.89012	36	-0.0865978	-0.0676392
-9.89012	36.5	-0.0611082	-0.0475437
-9.89012	37	-0.0407369	-0.0315706
-9.89012	37.5	-0.0250095	-0.019303
-9.89012	38	-0.0134877	-0.0103635
-9.89012	38.5	-0.00574558	-0.00438938
-9.89012	39	-0.00138258	-0.00105076
-9.89012	39.5	0	0

-10.4277	5	34.4094	34.1352
-10.4277	5.5	26.2394	26.0568
-10.4277	6	19.4654	19.3701
-10.4277	6.5	13.8115	13.7994
-10.4277	7	9.08037	9.14719
-10.4277	7.5	5.12409	5.2652
-10.4277	8	1.82539	2.03653
-10.4277	8.5	-0.912024	-0.635005
-10.4277	9	-3.16902	-2.83006
-10.4277	9.5	-5.01652	-4.6192
-10.4277	10	-6.51833	-6.06641
-10.4277	10.5	-7.7283	-7.22588
-10.4277	11	-8.68866	-8.13956
-10.4277	11.5	-9.43426	-8.84227
-10.4277	12	-9.99402	-9.36274
-10.4277	12.5	-10.3934	-9.72605
-10.4277	13	-10.6556	-9.9558
-10.4277	13.5	-10.7999	-10.0711
-10.4277	14	-10.8436	-10.0891
-10.4277	14.5	-10.8015	-10.0245
-10.4277	15	-10.6864	-9.89011
-10.4277	15.5	-10.5095	-9.69727
-10.4277	16	-10.2808	-9.45542
-10.4277	16.5	-10.0099	-9.17427
-10.4277	17	-9.70348	-8.86061
-10.4277	17.5	-9.36774	-8.5204
-10.4277	18	-9.00923	-8.16053
-10.4277	18.5	-8.6338	-7.78662
-10.4277	19	-8.24571	-7.40256
-10.4277	19.5	-7.84888	-7.01239
-10.4277	20	-7.44746	-6.62016
-10.4277	20.5	-7.04461	-6.22906
-10.4277	21	-6.64286	-5.84154
-10.4277	21.5	-6.24448	-5.45962
-10.4277	22	-5.85193	-5.08582
-10.4277	22.5	-5.46725	-4.72201
-10.4277	23	-5.09177	-4.36934
-10.4277	23.5	-4.72685	-4.02905
-10.4277	24	-4.37357	-3.70216
-10.4277	24.5	-4.03303	-3.3896
-10.4277	25	-3.70614	-3.09206
-10.4277	25.5	-3.39351	-2.81001
-10.4277	26	-3.09558	-2.5437
-10.4277	26.5	-2.81278	-2.29329
-10.4277	27	-2.54536	-2.05882
-10.4277	27.5	-2.29344	-1.8402
-10.4277	28	-2.05711	-1.63726
-10.4277	28.5	-1.83613	-1.44956
-10.4277	29	-1.63035	-1.27661
-10.4277	29.5	-1.43959	-1.118
-10.4277	30	-1.26347	-0.973258
-10.4277	30.5	-1.10167	-0.841771
-10.4277	31	-0.953691	-0.722898
-10.4277	31.5	-0.819107	-0.61601
-10.4277	32	-0.697411	-0.520445
-10.4277	32.5	-0.587967	-0.435466
-10.4277	33	-0.490213	-0.360382
-10.4277	33.5	-0.403563	-0.294538
-10.4277	34	-0.327383	-0.237278
-10.4277	34.5	-0.261028	-0.187913
-10.4277	35	-0.203825	-0.145788
-10.4277	35.5	-0.155141	-0.110284
-10.4277	36	-0.114356	-0.080804
-10.4277	36.5	-0.0808507	-0.0568081
-10.4277	37	-0.0539969	-0.0377291
-10.4277	37.5	-0.0332097	-0.0230721
-10.4277	38	-0.0179414	-0.0123888
-10.4277	38.5	-0.00765569	-0.00524783
-10.4277	39	-0.00184519	-0.00125638
-10.4277	39.5	0	0

-10.6992	5	31.8623	32.1509
-10.6992	5.5	23.7783	24.1453
-10.6992	6	17.0874	17.5293
-10.6992	6.5	11.5139	12.0273
-10.6992	7	6.86075	7.44179
-10.6992	7.5	2.98015	3.62459
-10.6992	8	-0.24503	0.458916
-10.6992	8.5	-2.91096	-2.15136
-10.6992	9	-5.09837	-4.2868
-10.6992	9.5	-6.87812	-6.01789
-10.6992	10	-8.31394	-7.40862
-10.6992	10.5	-9.45959	-8.51314
-10.6992	11	-10.3572	-9.37332
-10.6992	11.5	-11.0415	-10.0239
-10.6992	12	-11.5415	-10.4937
-10.6992	12.5	-11.8825	-10.8076
-10.6992	13	-12.0877	-10.9893
-10.6992	13.5	-12.1763	-11.0579
-10.6992	14	-12.1655	-11.0304
-10.6992	14.5	-12.0703	-10.9216
-10.6992	15	-11.9032	-10.7441
-10.6992	15.5	-11.6755	-10.5094
-10.6992	16	-11.3971	-10.2268
-10.6992	16.5	-11.0775	-9.90608
-10.6992	17	-10.7236	-9.55397
-10.6992	17.5	-10.3413	-9.17637
-10.6992	18	-9.93733	-8.78021
-10.6992	18.5	-9.51743	-8.37112
-10.6992	19	-9.08587	-7.95293
-10.6992	19.5	-8.64657	-7.52969
-10.6992	20	-8.20367	-7.10547
-10.6992	20.5	-7.76035	-6.68345
-10.6992	21	-7.31912	-6.26608
-10.6992	21.5	-6.88224	-5.85536
-10.6992	22	-6.45221	-5.45383
-10.6992	22.5	-6.03106	-5.06339
-10.6992	23	-5.62016	-4.68518
-10.6992	23.5	-5.22086	-4.32042
-10.6992	24	-4.83427	-3.97016
-10.6992	24.5	-4.46149	-3.63532
-10.6992	25	-4.10349	-3.31662
-10.6992	25.5	-3.76086	-3.01451
-10.6992	26	-3.4341	-2.72926
-10.6992	26.5	-3.12365	-2.46101
-10.6992	27	-2.82976	-2.20979
-10.6992	27.5	-2.5526	-1.97552
-10.6992	28	-2.29225	-1.75799
-10.6992	28.5	-2.04848	-1.55676
-10.6992	29	-1.82116	-1.37129
-10.6992	29.5	-1.6101	-1.20114
-10.6992	30	-1.41494	-1.04583
-10.6992	30.5	-1.23535	-0.904707
-10.6992	31	-1.07083	-0.777085
-10.6992	31.5	-0.920931	-0.662298
-10.6992	32	-0.785148	-0.559643
-10.6992	32.5	-0.662814	-0.468336
-10.6992	33	-0.553345	-0.387641
-10.6992	33.5	-0.456131	-0.31686
-10.6992	34	-0.370504	-0.255292
-10.6992	34.5	-0.295783	-0.202204
-10.6992	35	-0.23125	-0.156892
-10.6992	35.5	-0.176227	-0.118696
-10.6992	36	-0.130051	-0.0869756
-10.6992	36.5	-0.0920517	-0.0611521
-10.6992	37	-0.0615447	-0.0406172
-10.6992	37.5	-0.0378922	-0.02484
-10.6992	38	-0.0204925	-0.0133389
-10.6992	38.5	-0.00875305	-0.0056506
-10.6992	39	-0.00211165	-0.00135287
-10.6992	39.5	0	0

