30.5 1 1 57.5452
30.5 1 2 62.6922
30.5 1 3 42.6969
30.5 1 4 47.533
30.5 1 5 59.1986
30.5 1 6 42.9532
30.5 1 7 44.8916
30.5 1 8 61.5541
30.5 1 9 54.6022
30.5 1 10 52.092
30.5 1 12 40.837
30.5 1 13 65.4769
30.5 1 14 56.1348
30.5 1 15 35.5314
30.5 2 1 13.701
30.5 2 2 14.9342
30.5 2 3 10.1407
30.5 2 4 11.3414
30.5 2 5 14.1756
30.5 2 6 10.151
30.5 2 7 10.6597
30.5 2 8 14.4739
30.5 2 9 13.1798
30.5 2 10 12.3961
30.5 2 12 9.77615
30.5 2 13 15.6368
30.5 2 14 13.507
30.5 2 15 8.53738
30.5 3 1 3.23171
30.5 3 2 3.52636
30.5 3 3 2.27027
30.5 3 4 2.58279
30.5 3 5 2.91394
30.5 3 6 2.32414
30.5 3 7 2.45346
30.5 3 8 3.44019
30.5 3 9 3.00867
30.5 3 10 2.78357
30.5 3 12 2.18421
30.5 3 13 3.5423
30.5 3 14 3.08084
30.5 3 15 1.99834
30.5 4 1 0.77147
30.5 4 2 0.942927
30.5 4 3 0.588679
30.5 4 4 0.579557
30.5 4 5 0.885104
30.5 4 6 0.551572
30.5 4 7 0.62691
30.5 4 8 0.914756
30.5 4 9 0.907138
30.5 4 10 0.717015
30.5 4 12 0.75081
30.5 4 13 0.864191
30.5 4 14 0.859556
30.5 4 15 0.614071
30.5 5 1 0.490959
30.5 5 2 0.569333
30.5 5 3 0.441627
30.5 5 4 0.333083
30.5 5 5 0.432205
30.5 5 6 0.4742
30.5 5 7 0.390458
30.5 5 8 0.436942
30.5 5 9 0.493141
30.5 5 10 0.445795
30.5 5 12 0.456246
30.5 5 13 0.463938
30.5 5 14 0.456267
30.5 5 15 0.388705
30.5 6 1 0.36362
30.5 6 2 0.510856
30.5 6 3 0.309868
30.5 6 4 0.412091
30.5 6 5 0.393615
30.5 6 6 0.410885
30.5 6 7 0.352745
30.5 6 8 0.349088
30.5 6 9 0.429596
30.5 6 10 0.370005
30.5 6 12 0.343936
30.5 6 13 0.446196
30.5 6 14 0.356025
30.5 6 15 0.359849
32.0 1 1 57.5452
32.0 1 2 62.6922
32.0 1 3 42.6969
32.0 1 4 47.533
32.0 1 5 59.1986
32.0 1 6 42.9532
32.0 1 7 44.8916
32.0 1 8 61.5541
32.0 1 9 54.6022
32.0 1 10 52.092
32.0 1 12 40.837
32.0 1 13 65.4769
32.0 1 14 56.1348
32.0 1 15 35.5314
32.0 2 1 13.701
32.0 2 2 14.9342
32.0 2 3 10.1407
32.0 2 4 11.3414
32.0 2 5 14.1756
32.0 2 6 10.151
32.0 2 7 10.6597
32.0 2 8 14.4739
32.0 2 9 13.1798
32.0 2 10 12.3961
32.0 2 12 9.77615
32.0 2 13 15.6368
32.0 2 14 13.507
32.0 2 15 8.53738
32.0 3 1 3.23171
32.0 3 2 3.52636
32.0 3 3 2.27027
32.0 3 4 2.58279
32.0 3 5 2.91394
32.0 3 6 2.32414
32.0 3 7 2.45346
32.0 3 8 3.44019
32.0 3 9 3.00867
32.0 3 10 2.78357
32.0 3 12 2.18421
32.0 3 13 3.5423
32.0 3 14 3.08084
32.0 3 15 1.99834
32.0 4 1 0.77147
32.0 4 2 0.942927
32.0 4 3 0.588679
32.0 4 4 0.579557
32.0 4 5 0.885104
32.0 4 6 0.551572
32.0 4 7 0.62691
32.0 4 8 0.914756
32.0 4 9 0.907138
32.0 4 10 0.717015
32.0 4 12 0.75081
32.0 4 13 0.864191
32.0 4 14 0.859556
32.0 4 15 0.614071
32.0 5 1 0.490959
32.0 5 2 0.569333
32.0 5 3 0.441627
32.0 5 4 0.333083
32.0 5 5 0.432205
32.0 5 6 0.4742
32.0 5 7 0.390458
32.0 5 8 0.436942
32.0 5 9 0.493141
32.0 5 10 0.445795
32.0 5 12 0.456246
32.0 5 13 0.463938
32.0 5 14 0.456267
32.0 5 15 0.388705
32.0 6 1 0.36362
32.0 6 2 0.510856
32.0 6 3 0.309868
32.0 6 4 0.412091
32.0 6 5 0.393615
32.0 6 6 0.410885
32.0 6 7 0.352745
32.0 6 8 0.349088
32.0 6 9 0.429596
32.0 6 10 0.370005
32.0 6 12 0.343936
32.0 6 13 0.446196
32.0 6 14 0.356025
32.0 6 15 0.359849
33.0 1 1 57.5452
