c	F_rep (kT)
1.00	0.0000	20.0000
0.95	0.0691	20.0000
0.90	0.1383	20.0000
0.85	0.2074	20.0000
0.80	0.2767	20.0000
0.75	0.3460	20.0000
0.70	0.4153	20.0000
0.65	0.4847	20.0000
0.60	0.5541	20.0000
0.55	0.6236	20.0000
0.50	0.6931	20.0000
0.45	0.7626	20.0000
0.40	0.8322	20.0000
0.35	0.9019	20.0000
0.30	0.9716	20.0000
0.25	1.0413	20.0000
0.20	1.1111	20.0000
0.15	1.1809	20.0000
0.10	1.2508	20.0000
0.05	1.3207	20.0000
0.00	1.3907	20.0000
