c	F_rep (kT)
1.00	0.0000	20.0000
0.95	0.0055	20.0000
0.90	0.0109	20.0000
0.85	0.0164	20.0000
0.80	0.0219	20.0000
0.75	0.0274	20.0000
0.70	0.0328	20.0000
0.65	0.0383	20.0000
0.60	0.0438	20.0000
0.55	0.0493	20.0000
0.50	0.0547	20.0000
0.45	0.0602	20.0000
0.40	0.0657	20.0000
0.35	0.0711	20.0000
0.30	0.0766	20.0000
0.25	0.0821	20.0000
0.20	0.0876	20.0000
0.15	0.0930	20.0000
0.10	0.0985	20.0000
0.05	0.1040	20.0000
0.00	0.1095	20.0000
