c	F_rep (kT)
1.00	0.0000	20.0000
0.95	0.1120	20.0000
0.90	0.2242	20.0000
0.85	0.3365	20.0000
0.80	0.4489	20.0000
0.75	0.5614	20.0000
0.70	0.6740	20.0000
0.65	0.7868	20.0000
0.60	0.8997	20.0000
0.55	1.0127	20.0000
0.50	1.1258	20.0000
0.45	1.2390	20.0000
0.40	1.3524	20.0000
0.35	1.4659	20.0000
0.30	1.5795	20.0000
0.25	1.6932	20.0000
0.20	1.8070	20.0000
0.15	1.9210	20.0000
0.10	2.0351	20.0000
0.05	2.1493	20.0000
0.00	2.2636	20.0000
