c	F_rep (kT)
1.00	0.0000	1.0000
0.95	19.3083	1.0000
0.90	40.1899	1.0000
0.85	62.9410	1.0000
0.80	87.9556	1.0000
0.75	115.7782	1.0000
0.70	147.2007	1.0000
0.65	183.4563	1.0000
0.60	226.6930	1.0000
0.55	281.4441	1.0000
0.50	362.3743	1.0000
0.45	495.5898	1.0000
0.40	654.9898	1.0000
0.35	825.9096	1.0000
0.30	1003.8133	1.0000
0.25	1186.5563	1.0000
0.20	1372.9064	1.0000
0.15	1562.0681	1.0000
0.10	1753.4891	1.0000
0.05	1946.7863	1.0000
0.00	2138.1160	2.0000
