c	F_rep (kT)
1.00	0.0000	13.0000
0.95	47.6152	13.0000
0.90	96.5905	13.0000
0.85	146.2719	14.0000
0.80	195.1869	14.0000
0.75	245.5600	14.0000
0.70	297.4648	14.0000
0.65	348.5477	15.0000
0.60	400.3368	15.0000
0.55	453.7534	15.0000
0.50	506.4486	16.0000
0.45	559.6155	16.0000
0.40	614.4904	16.0000
0.35	667.4734	17.0000
0.30	721.9001	17.0000
0.25	776.2299	18.0000
0.20	829.9715	18.0000
0.15	884.7719	19.0000
0.10	937.5566	19.0000
0.05	991.9670	20.0000
0.00	1043.4900	20.0000
