c	F_rep (kT)
1.00	0.0000	20.0000
0.95	0.4384	20.0000
0.90	0.8770	20.0000
0.85	1.3158	20.0000
0.80	1.7548	20.0000
0.75	2.1940	20.0000
0.70	2.6335	20.0000
0.65	3.0731	20.0000
0.60	3.5129	20.0000
0.55	3.9529	20.0000
0.50	4.3932	20.0000
0.45	4.8336	20.0000
0.40	5.2743	20.0000
0.35	5.7151	20.0000
0.30	6.1562	20.0000
0.25	6.5974	20.0000
0.20	7.0389	20.0000
0.15	7.4806	20.0000
0.10	7.9224	20.0000
0.05	8.3645	20.0000
0.00	8.8068	20.0000
