c	F_rep (kT)
1.00	0.0000	18.0000
0.95	9.1397	18.0000
0.90	18.3514	18.0000
0.85	27.3197	19.0000
0.80	35.9072	19.0000
0.75	44.5615	19.0000
0.70	53.2836	19.0000
0.65	62.0747	19.0000
0.60	70.9359	19.0000
0.55	79.8683	19.0000
0.50	88.8730	19.0000
0.45	97.9512	19.0000
0.40	107.1041	19.0000
0.35	116.3330	19.0000
0.30	125.6391	19.0000
0.25	134.5409	20.0000
0.20	143.1573	20.0000
0.15	151.8447	20.0000
0.10	160.6043	20.0000
0.05	169.4371	20.0000
0.00	178.3446	20.0000
